"variable","percent.contribution","permutation.importance"
"bio14",12.0671,6.4592
"bio16",8.8935,14.6362
"bio2",0.0525,0
"bio4",13.8248,7.4208
"bio8",35.6362,19.501
"bio9",3.2193,3.238
"elevation",3.3145,9.4666
"ruggedness",13.5307,23.599
"sand",9.4615,15.6792
