"variable","percent.contribution","permutation.importance"
"bio1",23.7851,61.0521
"bio12",36.7073,9.003
"bio15",5.964,5.5694
"bio2",8.133,7.734
"bio4",0,0
"bio8",0,0
"bio9",20.303,0
"ruggedness",1.8664,16.6415
"sand",2.6496,0
"soc",0.5916,0
