"variable","percent.contribution","permutation.importance"
"bio14",10.8966,12.1912
"bio15",12.88,11.1483
"bio2",2.4629,2.1519
"bio6",21.1386,8.4128
"bio8",23.0569,19.3062
"nitrogen",1.4732,11.5406
"ruggedness",22.1496,31.2678
"sand",5.9421,3.9811
