"variable","percent.contribution","permutation.importance"
"bio14",24.7158,48.1315
"bio15",4.5573,1.5287
"bio2",0.571,2.9512
"bio8",20.5051,1.451
"bio9",7.4236,2.3079
"elevation",24.4995,41.1137
"ruggedness",17.6617,2.3975
"sand",0.0661,0.1185
