"variable","percent.contribution","permutation.importance"
"bio15",1.0013,3.5621
"bio17",47.9567,60.7668
"bio2",10.8976,11.2928
"bio4",8.4887,12.9217
"bio8",5.0809,2.5776
"nitrogen",4.7788,2.6582
"ruggedness",0.8605,1.56
"sand",20.9355,4.6609
