aridity_index_UNEP,x,y
-9999.0,-43.12500345,-46.87500375
1.0640807151794434,-76.45833945,45.20833695
-9999.0,-138.54167775,1.87500014999999
0.7646173238754272,110.62500885,66.45833865
-9999.0,-150.20834535,24.37500195
-9999.0,-15.62500125,-43.12500345
0.40378981828689575,-40.20833655,-12.70833435
-9999.0,-141.87501135,50.20833735
1.784929633140564,-67.29167205,68.12500545
-9999.0,-159.37501275,-1.87500015000001
0.13448038697242737,56.04167115,27.29166885
-9999.0,-41.45833665,-24.79166865
-9999.0,-97.29167445,4.79166705
-9999.0,-116.87500935,-48.54167055
-9999.0,-36.87500295,56.87500455
2.0828864574432373,131.04167715,33.12500265
0.9063603281974792,61.87500495,60.62500485
-9999.0,46.87500375,74.79167265
-9999.0,103.12500825,78.12500625
-9999.0,-119.37500955,24.37500195
-9999.0,-36.45833625,61.87500495
-9999.0,-87.70834035,-31.87500255
-9999.0,121.87500975,-41.87500335
-9999.0,-53.95833765,67.70833875
-9999.0,142.29167805,16.45833465
-9999.0,-161.04167955,-2.70833355000001
-9999.0,-8.54166735000001,55.20833775
1.5093934535980225,-73.54167255,48.54167055
-9999.0,-35.62500285,-33.54166935
0.5444375276565552,-69.79167225,-33.12500265
0.06415054202079773,60.20833815,30.20833575
-9999.0,-130.62501045,37.70833635
-9999.0,13.54166775,34.37500275
-9999.0,-158.12501265,48.12500385
-9999.0,99.79167465,-51.45833745
-9999.0,66.04167195,-54.79167105
-9999.0,-121.04167635,-12.29166765
-9999.0,61.04167155,-55.20833775
-9999.0,168.12501345,-53.95833765
-9999.0,-151.87501215,55.20833775
-9999.0,151.45834545,80.20833975
-9999.0,-94.37500755,-22.70833515
0.6553213000297546,153.54167895,66.04167195
-9999.0,-82.29167325,-39.79166985
-9999.0,-173.12501385,31.04166915
-9999.0,-61.87500495,56.45833785
-9999.0,78.54167295,-55.62500445
0.3023945093154907,-112.29167565,39.37500315
0.03403531014919281,47.70833715,18.95833485
-9999.0,-5.20833375000001,-41.87500335
-9999.0,53.95833765,76.87500615
-9999.0,-119.37500955,3.95833365
-9999.0,-45.20833695,53.12500425
-9999.0,137.29167765,-1.04166675
2.0770981311798096,-62.70833835,52.29167085
-9999.0,148.12501185,-48.12500385
0.23818276822566986,-108.12500865,39.37500315
0.9842551350593567,57.29167125,57.29167125
-9999.0,55.20833775,-30.62500245
-9999.0,117.29167605,-52.70833755
-9999.0,79.37500635,-51.04167075
-9999.0,-67.70833875,15.20833455
0.1551474928855896,87.29167365,46.45833705
0.15930740535259247,41.45833665,35.62500285
-9999.0,-61.87500495,-50.20833735
-9999.0,133.54167735,28.54166895
-9999.0,-28.95833565,21.87500175
1.3311353921890259,29.79166905,63.54167175
-9999.0,-152.70834555,48.12500385
-9999.0,11.45833425,-51.45833745
-9999.0,14.37500115,-23.95833525
-9999.0,-78.54167295,58.54167135
-9999.0,66.87500535,4.79166705
-9999.0,-40.62500325,-25.20833535
-9999.0,-49.79167065,-46.87500375
-9999.0,16.04166795,32.29166925
-9999.0,-25.20833535,71.04167235
-9999.0,108.54167535,-37.29166965
-9999.0,-85.62500685,-48.54167055
0.003386405762284994,19.37500155,27.29166885
-9999.0,123.12500985,-9.79166745000001
1.1448231935501099,-54.79167105,-10.20833415
-9999.0,75.62500605,-23.12500185
-9999.0,-113.12500905,-45.62500365
1.1234302520751953,-133.95834405,64.79167185
-9999.0,-7.29166725000002,-45.20833695
0.43532806634902954,38.12500305,-1.04166675
-9999.0,-43.12500345,18.54166815
1.4662501811981201,-84.79167345,12.70833435
-9999.0,-178.12501425,-6.45833385
-9999.0,-148.12501185,-40.20833655
-9999.0,26.45833545,-40.20833655
1.5110217332839966,-69.37500555,46.87500375
-9999.0,3.54166694999998,71.04167235
1.461803913116455,-63.12500505,-4.37500035000001
-9999.0,-122.29167645,-38.54166975
-9999.0,177.29168085,40.20833655
-9999.0,-65.62500525,81.04167315
-9999.0,74.37500595,74.79167265
0.8992339968681335,103.95834165,16.87500135
-9999.0,123.54167655,-41.45833665
0.37445127964019775,46.87500375,36.87500295
1.2012012004852295,-84.37500675,69.37500555
-9999.0,158.12501265,-41.04166995
-9999.0,113.12500905,-13.12500105
-9999.0,90.20834055,11.45833425
-9999.0,-91.45834065,78.54167295
-9999.0,-14.37500115,-39.79166985
-9999.0,-91.04167395,8.95833404999999
-9999.0,138.95834445,78.54167295
-9999.0,-150.20834535,-10.20833415
-9999.0,88.54167375,80.62500645
0.6057382822036743,81.45833985,44.37500355
-9999.0,-62.29167165,62.29167165
1.0438555479049683,42.29167005,58.54167135
1.075488567352295,12.29166765,-2.70833355000001
-9999.0,-137.29167765,33.54166935
-9999.0,-11.87500095,42.29167005
-9999.0,-171.45834705,-45.20833695
0.6584118604660034,-117.70834275,48.54167055
-9999.0,-35.62500285,-28.95833565
-9999.0,-45.20833695,19.37500155
-9999.0,-153.95834565,72.29167245
-9999.0,-56.04167115,60.20833815
-9999.0,-162.70834635,1.04166675
-9999.0,69.79167225,-32.29166925
0.8721665740013123,-85.20834015,44.79167025
-9999.0,-45.20833695,44.37500355
-9999.0,83.54167335,-25.20833535
-9999.0,-13.12500105,60.20833815
-9999.0,158.12501265,76.45833945
-9999.0,-62.29167165,73.54167255
-9999.0,41.04166995,-20.62500165
0.5463226437568665,89.79167385,35.62500285
-9999.0,86.04167355,8.95833404999999
0.5558866262435913,26.04166875,42.29167005
-9999.0,100.62500805,-11.45833425
-9999.0,130.20834375,26.04166875
0.8604230284690857,167.29168005,63.54167175
-9999.0,-171.87501375,-17.70833475
-9999.0,38.12500305,-23.54166855
-9999.0,49.37500395,-37.29166965
-9999.0,127.70834355,17.29166805
-9999.0,162.70834635,-35.20833615
-9999.0,-131.45834385,46.87500375
0.8961524963378906,-57.70833795,-28.12500225
-9999.0,-150.20834535,-22.29166845
-9999.0,-153.54167895,-43.95833685
-9999.0,-105.20834175,-31.04166915
-9999.0,146.04167835,78.95833965
-9999.0,-90.20834055,1.45833345
-9999.0,8.95833404999999,67.70833875
-9999.0,-122.29167645,-21.87500175
1.1196562051773071,109.79167545,23.12500185
0.978262722492218,52.70833755,57.70833795
-9999.0,-127.70834355,2.70833354999999
1.447705864906311,103.12500825,-0.208333350000004
1.4914573431015015,-172.29168045,65.62500525
-9999.0,-156.87501255,14.79166785
-9999.0,-50.62500405,61.04167155
-9999.0,111.45834225,8.12500065
0.5196244120597839,-64.37500515,-36.04166955
1.5286040306091309,-69.79167225,-5.62500045
-9999.0,29.37500235,75.62500605
-9999.0,-115.20834255,77.29167285
-9999.0,-37.29166965,53.95833765
0.07812327891588211,48.12500385,9.37500075
-9999.0,174.37501395,73.95833925
-9999.0,146.45834505,37.70833635
0.9806137084960938,-92.70834075,68.12500545
-9999.0,-48.12500385,-44.79167025
-9999.0,38.12500305,-24.79166865
0.7036622762680054,-97.29167445,66.87500535
-9999.0,-17.29166805,11.04166755
-9999.0,6.45833385,40.20833655
1.1354925632476807,106.45834185,76.04167275
-9999.0,-18.95833485,-25.20833535
0.029836494475603104,92.70834075,41.87500335
1.2872979640960693,113.12500905,23.12500185
0.8732885122299194,161.04167955,62.29167165
0.558620274066925,112.29167565,49.79167065
-9999.0,-37.70833635,-28.54166895
-9999.0,-157.29167925,-29.79166905
0.883860170841217,-58.95833805,-15.20833455
-9999.0,-74.37500595,-32.29166925
-9999.0,-157.29167925,-9.37500075
-9999.0,88.54167375,-13.95833445
-9999.0,-154.37501235,76.87500615
-9999.0,97.29167445,-18.95833485
1.247302532196045,-78.95833965,54.37500435
0.8873810172080994,17.70833475,4.37500034999999
0.5738776326179504,-108.12500865,75.62500605
0.21669359505176544,-65.62500525,-25.20833535
-9999.0,-13.12500105,59.79167145
-9999.0,-156.87501255,12.29166765
1.3144320249557495,10.62500085,61.04167155
1.3411785364151,-156.45834585,58.12500465
-9999.0,141.45834465,7.29166725
-9999.0,-100.20834135,-47.70833715
2.0461931228637695,-60.62500485,52.70833755
-9999.0,109.37500875,-43.54167015
-9999.0,-147.70834515,-46.87500375
-9999.0,3.95833364999999,-1.04166675
-9999.0,-92.29167405,-17.29166805
0.005605412647128105,21.87500175,28.95833565
0.3862428069114685,139.79167785,-18.12500145
-9999.0,-143.12501145,37.29166965
-9999.0,-116.04167595,27.29166885
-9999.0,-19.79166825,11.87500095
-9999.0,66.04167195,-5.62500045
-9999.0,-130.20834375,75.20833935
1.1787161827087402,84.79167345,61.45833825
-9999.0,101.45834145,8.12500065
-9999.0,66.04167195,71.87500575
-9999.0,-17.70833475,29.79166905
-9999.0,56.87500455,-53.95833765
-9999.0,171.87501375,-47.29167045
-9999.0,178.12501425,61.87500495
-9999.0,-15.20833455,-18.95833485
-9999.0,-15.20833455,-53.12500425
