LandCover_4_Mixedtrees,x,y
0.0,1.45833345,-38.54166975
0.0,172.70834715,-53.54167095
0.0,-139.79167785,57.70833795
0.0,-60.20833815,40.20833655
0.0,2.29166684999998,45.62500365
0.0,0.208333349999975,10.62500085
0.0,-93.12500745,71.04167235
0.0,-48.12500385,16.45833465
0.0,43.95833685,0.625000049999997
0.0,63.54167175,80.62500645
0.0,101.04167475,-36.87500295
0.0,111.87500895,44.37500355
0.0,-69.37500555,27.29166885
0.0,-113.95834245,70.20833895
0.0,-126.87501015,-45.20833695
0.0,157.29167925,-4.37500035000001
0.0,-132.29167725,10.62500085
0.0,-157.70834595,-15.20833455
0.0,-86.87500695,-48.12500385
0.0,-67.29167205,39.37500315
0.0,146.87501175,6.04166714999999
17.0,139.79167785,63.12500505
0.0,18.95833485,-47.29167045
0.0,-81.04167315,42.29167005
0.0,-127.70834355,-19.79166825
0.0,101.04167475,-46.45833705
0.0,67.29167205,-20.20833495
0.0,55.20833775,52.29167085
0.0,119.37500955,23.12500185
6.0,43.95833685,7.29166725
0.0,-78.12500625,-13.95833445
0.0,56.45833785,-26.04166875
0.0,77.70833955,-49.79167065
0.0,147.70834515,78.54167295
10.0,-111.87500895,35.62500285
0.0,-43.54167015,38.54166975
0.0,-95.20834095,-16.04166795
0.0,-96.87500775,-6.87500055
0.0,98.54167455,-42.70833675
0.0,-85.20834015,0.625000049999997
68.0,34.37500275,-17.70833475
0.0,138.54167775,25.20833535
0.0,50.62500405,-30.62500245
0.0,76.87500615,73.54167255
0.0,-4.79166705,33.54166935
0.0,-152.70834555,-38.12500305
0.0,73.95833925,-13.12500105
0.0,48.54167055,-11.87500095
0.0,39.37500315,-31.45833585
0.0,55.20833775,-54.79167105
0.0,173.12501385,41.04166995
0.0,-140.62501125,-0.625000049999997
0.0,105.62500845,62.29167165
0.0,18.54166815,-48.54167055
0.0,16.04166795,-28.54166895
0.0,-112.29167565,74.37500595
0.0,-80.62500645,20.20833495
0.0,153.54167895,6.87500055
0.0,122.70834315,-42.70833675
0.0,53.12500425,33.12500265
0.0,-158.95834605,-50.62500405
8.0,24.79166865,53.12500425
0.0,119.79167625,63.12500505
0.0,-142.29167805,-8.12500065
0.0,-31.04166915,-51.87500415
0.0,31.87500255,-38.12500305
0.0,38.95833645,-37.29166965
0.0,132.70834395,74.79167265
0.0,-31.04166915,-53.95833765
68.0,58.12500465,57.70833795
0.0,-32.70833595,70.20833895
0.0,-178.95834765,56.45833785
0.0,-95.20834095,15.62500125
0.0,43.12500345,-48.12500385
0.0,59.37500475,2.70833354999999
0.0,-95.20834095,-9.79166745000001
16.0,146.87501175,68.95833885
0.0,169.37501355,59.79167145
0.0,-106.87500855,-8.12500065
0.0,-83.12500665,66.87500535
0.0,71.04167235,34.79166945
0.0,77.29167285,-3.54166695000001
0.0,-44.79167025,65.62500525
0.0,-125.20834335,-33.95833605
0.0,-61.87500495,59.37500475
0.0,116.04167595,0.625000049999997
0.0,-14.79166785,47.70833715
33.0,-106.45834185,27.29166885
0.0,-0.625000050000011,-7.29166725
0.0,172.70834715,-44.37500355
0.0,-35.62500285,21.87500175
0.0,-156.04167915,32.70833595
36.0,37.29166965,-9.79166745000001
0.0,138.95834445,47.29167045
32.0,-105.62500845,33.12500265
0.0,55.62500445,47.29167045
0.0,-18.54166815,-43.12500345
0.0,67.29167205,-15.20833455
0.0,69.79167225,17.70833475
0.0,42.29167005,36.04166955
0.0,132.70834395,26.04166875
0.0,-71.45833905,-54.79167105
0.0,2.70833354999999,59.37500475
0.0,-100.62500805,-41.04166995
0.0,168.54168015,-6.04166715000001
0.0,-60.20833815,71.87500575
0.0,-125.20834335,43.54167015
0.0,-54.37500435,40.20833655
0.0,146.45834505,-40.20833655
0.0,-94.37500755,-2.29166685
0.0,-23.54166855,40.20833655
0.0,130.62501045,-43.54167015
0.0,-64.79167185,13.54166775
0.0,11.87500095,71.87500575
0.0,8.95833404999999,-40.20833655
0.0,169.79168025,-11.04166755
0.0,20.20833495,-38.54166975
0.0,-143.54167815,-35.20833615
0.0,167.70834675,46.87500375
0.0,37.29166965,28.95833565
86.0,-66.45833865,46.87500375
0.0,80.62500645,-44.79167025
0.0,-80.20833975,-28.54166895
35.0,21.45833505,-15.20833455
0.0,-146.87501175,-54.37500435
0.0,118.95834285,-6.04166715000001
0.0,-104.79167505,-31.04166915
0.0,116.04167595,7.29166725
0.0,32.70833595,-33.12500265
0.0,11.45833425,-43.54167015
0.0,160.20834615,75.20833935
0.0,26.04166875,-3.95833365
38.0,23.12500185,-10.20833415
0.0,-134.37501075,-8.95833405
80.0,128.95834365,45.20833695
0.0,-10.62500085,57.29167125
0.0,-40.62500325,62.70833835
0.0,97.29167445,37.29166965
0.0,-167.29168005,14.37500115
0.0,159.37501275,42.29167005
0.0,-85.62500685,-18.95833485
0.0,55.62500445,-1.45833345
0.0,-58.95833805,-35.62500285
48.0,119.37500955,28.12500225
40.0,37.70833635,5.62500045
0.0,-131.45834385,-23.12500185
0.0,-38.95833645,38.54166975
54.0,55.20833775,61.87500495
0.0,-86.87500695,42.70833675
0.0,26.04166875,3.12500025
0.0,99.37500795,38.95833645
0.0,11.87500095,40.20833655
0.0,106.04167515,78.12500625
0.0,96.45834105,-8.12500065
0.0,-148.54167855,51.04167075
0.0,-38.12500305,56.87500455
42.0,50.20833735,63.12500505
