BIOCLIM_1,x,y
85.0,120.20834295,40.62500325
-9999.0,40.20833655,-46.04167035
266.0,-48.54167055,-11.87500095
-9999.0,-31.04166915,35.62500285
147.0,50.62500405,31.87500255
-9999.0,-54.79167105,28.95833565
-189.0,146.04167835,64.37500515
-9999.0,123.95834325,-11.45833425
-9999.0,-136.04167755,76.45833945
11.0,58.54167135,54.79167105
-9999.0,-130.20834375,52.29167085
244.0,24.79166865,8.12500065
-9999.0,-134.37501075,32.29166925
-9999.0,170.20834695,32.70833595
-9999.0,25.62500205,-54.79167105
42.0,-67.29167205,-23.54166855
-9999.0,148.54167855,-51.45833745
-9999.0,124.79167665,28.54166895
-9999.0,-63.12500505,17.70833475
-9999.0,-170.62501365,-53.54167095
245.0,-1.87500015000001,7.70833395
-9999.0,-83.12500665,-23.54166855
-9999.0,133.12501065,4.79166705
-9999.0,-173.12501385,75.20833935
-72.0,-137.70834435,62.29167165
-9999.0,-12.70833435,-6.04166715000001
-9999.0,-115.20834255,-38.12500305
259.0,126.45834345,-16.45833465
-9999.0,76.04167275,6.45833385
-9999.0,153.12501225,-11.87500095
-9999.0,117.70834275,-36.45833625
-9999.0,117.29167605,-43.54167015
-131.0,101.45834145,71.45833905
-9999.0,-144.37501155,-48.95833725
-9999.0,145.20834495,-10.20833415
-9999.0,-164.37501315,-13.95833445
-9999.0,53.54167095,-10.62500085
228.0,39.79166985,12.70833435
-9999.0,104.37500835,-40.20833655
-9999.0,-138.54167775,25.62500205
-9999.0,-171.87501375,-18.95833485
-9999.0,156.45834585,60.62500485
-9999.0,-43.95833685,33.54166935
-9999.0,148.12501185,-39.79166985
-9999.0,161.04167955,-18.95833485
-9999.0,-58.12500465,68.54167215
-153.0,131.87501055,69.37500555
220.0,18.54166815,-9.37500075
260.0,38.95833645,-2.29166685
-9999.0,-178.54168095,64.37500515
-9999.0,-130.62501045,76.45833945
-9999.0,-140.20834455,74.37500595
-9999.0,8.54166734999998,-3.95833365
-9999.0,164.37501315,49.79167065
-9999.0,127.70834355,78.54167295
-9999.0,-143.54167815,-1.45833345
-3.0,57.70833795,60.20833815
-9999.0,85.20834015,-28.95833565
-9999.0,-172.70834715,60.62500485
-9999.0,-1.87500015000001,-36.45833625
-9999.0,104.79167505,-33.12500265
-9999.0,-166.87501335,9.79166744999999
195.0,53.54167095,32.70833595
-9999.0,172.29168045,-4.79166705
56.0,-108.95834205,48.12500385
-147.0,101.04167475,76.04167275
-9999.0,158.12501265,71.04167235
-199.0,-30.20833575,72.70833915
-9999.0,-135.62501085,3.54166694999999
-9999.0,-71.45833905,16.04166795
-9999.0,-166.04167995,67.70833875
-9999.0,71.87500575,-1.04166675
-5.0,73.54167255,57.70833795
-9999.0,-146.87501175,19.37500155
-9999.0,57.29167125,68.95833885
-9999.0,-91.45834065,27.70833555
-9999.0,-22.29166845,56.04167115
-9999.0,-166.04167995,42.70833675
253.0,-62.70833835,3.54166694999999
69.0,-76.87500615,-8.95833405
71.0,-116.45834265,46.87500375
-9999.0,88.12500705,-1.45833345
-9999.0,68.54167215,-18.12500145
-9999.0,101.04167475,-3.54166695000001
-92.0,128.95834365,60.20833815
-112.0,-133.95834405,64.79167185
-9999.0,120.20834295,78.12500625
-9999.0,-106.45834185,-27.70833555
-9999.0,-178.54168095,58.12500465
153.0,121.04167635,24.37500195
-9999.0,-18.54166815,-3.95833365
15.0,67.29167205,54.37500435
-9999.0,-173.12501385,-39.79166985
-9999.0,93.95834085,15.20833455
-9999.0,-176.45834745,9.37500075
-9999.0,-87.70834035,-20.20833495
-9999.0,-58.95833805,-43.95833685
166.0,144.79167825,-35.20833615
-9999.0,58.95833805,-21.87500175
-91.0,-79.79167305,62.29167165
-9999.0,-19.37500155,30.20833575
-9999.0,-103.95834165,12.29166765
2.0,-73.54167255,48.54167055
-9999.0,-116.87500935,-21.45833505
225.0,21.87500175,26.04166875
106.0,126.45834345,38.12500305
250.0,26.04166875,4.79166705
-9999.0,155.20834575,-39.37500315
-9999.0,74.79167265,73.54167255
25.0,-76.45833945,46.87500375
-37.0,95.62500765,52.70833755
291.0,19.37500155,16.04166795
-9999.0,112.70834235,17.29166805
-9999.0,-133.54167735,-8.54166735
179.0,8.12500064999998,34.37500275
-9999.0,84.37500675,-46.87500375
-9999.0,169.79168025,-0.625000049999997
-9999.0,134.79167745,-1.87500015000001
-9999.0,39.37500315,79.79167305
-135.0,115.62500925,68.12500545
-9999.0,6.45833385,-16.87500135
-9999.0,12.29166765,-39.79166985
-202.0,94.37500755,80.62500645
-159.0,148.12501185,75.20833935
77.0,-107.70834195,46.04167035
-9999.0,28.54166895,-46.87500375
-9999.0,13.12500105,55.20833775
-9999.0,165.62501325,-53.95833765
-9999.0,-41.45833665,-34.37500275
-155.0,-92.70834075,68.12500545
-108.0,-68.12500545,68.54167215
