ISRICSOILGRIDS_new_average_phx10percent_reduced,x,y
-9999.0,-0.208333350000004,61.45833825
-9999.0,5.20833374999998,55.20833775
64.0,-85.20834015,69.37500555
-9999.0,-7.29166725000002,-20.20833495
-9999.0,-117.29167605,1.04166675
83.0,103.95834165,36.04166955
60.0,99.79167465,56.04167115
-9999.0,-81.04167315,-14.37500115
-9999.0,-123.12500985,66.04167195
-9999.0,-148.12501185,14.37500115
-9999.0,125.62501005,74.37500595
-9999.0,-163.54167975,63.54167175
-9999.0,-72.70833915,-23.95833525
58.0,160.62501285,68.54167215
-9999.0,-62.70833835,14.37500115
53.0,-78.12500625,8.54166735
55.0,47.70833715,-16.45833465
75.0,9.79166744999998,36.45833625
-9999.0,-115.20834255,-19.37500155
-9999.0,-178.12501425,-15.20833455
-9999.0,-64.79167185,20.62500165
-9999.0,-81.45833985,-12.70833435
-9999.0,-151.04167875,27.29166885
-9999.0,-173.54168055,20.20833495
-9999.0,-109.79167545,-12.29166765
-9999.0,-38.12500305,21.87500175
-9999.0,3.54166694999998,-33.95833605
-9999.0,-52.29167085,38.54166975
-9999.0,152.70834555,44.37500355
-9999.0,-141.45834465,-28.95833565
-9999.0,113.12500905,-33.54166935
-9999.0,125.62501005,26.45833545
-9999.0,60.62500485,-29.37500235
-9999.0,128.54167695,-6.87500055
-9999.0,1.04166674999999,-46.45833705
-9999.0,-98.54167455,-32.29166925
-9999.0,87.29167365,-20.62500165
79.0,53.12500425,45.62500365
60.0,124.37500995,50.20833735
-9999.0,18.54166815,-34.79166945
-9999.0,164.37501315,14.79166785
-9999.0,-160.20834615,-27.29166885
-9999.0,37.70833635,-43.12500345
-9999.0,143.54167815,-1.04166675
-9999.0,-170.20834695,16.45833465
-9999.0,-34.37500275,36.45833625
-9999.0,-12.29166765,-46.45833705
-9999.0,-31.45833585,-51.45833745
-9999.0,-147.29167845,79.79167305
-9999.0,107.70834195,20.20833495
-9999.0,159.79167945,25.62500205
-9999.0,-32.29166925,30.62500245
55.0,-128.54167695,68.54167215
60.0,151.45834545,-28.95833565
57.0,84.79167345,48.95833725
-9999.0,7.70833395,-41.87500335
-9999.0,96.04167435,-44.37500355
-9999.0,-47.70833715,22.29166845
-9999.0,-34.79166945,-2.70833355000001
-9999.0,100.62500805,-4.37500035000001
-9999.0,118.54167615,-35.62500285
-9999.0,-124.37500995,1.04166675
61.0,6.45833385,11.45833425
63.0,-88.54167375,68.54167215
77.0,78.95833965,47.29167045
74.0,41.04166995,-1.04166675
-9999.0,-75.20833935,-43.95833685
-9999.0,-134.37501075,-18.95833485
-9999.0,119.79167625,39.79166985
-9999.0,-172.70834715,-14.37500115
79.0,49.37500395,35.20833615
69.0,-96.45834105,44.79167025
-9999.0,49.79167065,-25.62500205
-9999.0,112.70834235,-45.20833695
-9999.0,51.04167075,26.45833545
-9999.0,-110.62500885,-41.87500335
-9999.0,-172.70834715,-6.04166715000001
70.0,-67.29167205,-24.79166865
-9999.0,-138.12501105,8.54166735
-9999.0,131.45834385,-47.29167045
-9999.0,-99.79167465,79.37500635
-9999.0,146.04167835,38.54166975
-9999.0,-130.20834375,72.29167245
-9999.0,-52.29167085,48.54167055
-9999.0,-34.37500275,-33.12500265
-9999.0,52.70833755,24.79166865
60.0,99.37500795,70.20833895
-9999.0,-3.12500025,-27.70833555
-9999.0,45.62500365,-7.70833395
-9999.0,31.87500255,78.95833965
-9999.0,-171.45834705,5.20833374999999
-9999.0,-136.04167755,-21.04166835
82.0,115.20834255,41.45833665
-9999.0,12.70833435,-48.54167055
-9999.0,137.70834435,72.29167245
-9999.0,-30.20833575,77.29167285
-9999.0,-81.04167315,-31.45833585
-9999.0,-29.37500235,7.70833395
-9999.0,-32.29166925,-16.87500135
-9999.0,131.45834385,-43.12500345
54.0,-118.12500945,66.87500535
81.0,-9.37500075,27.70833555
77.0,-81.04167315,-6.04166715000001
