LandCover_5_Shrubs,x,y
0.0,-138.12501105,43.54167015
21.0,104.37500835,36.45833625
0.0,-155.62501245,61.87500495
0.0,33.12500265,-54.79167105
0.0,11.87500095,55.62500445
0.0,-6.45833385,38.95833645
28.0,123.12500985,56.87500455
0.0,97.29167445,-1.87500015000001
84.0,-68.12500545,-36.04166955
0.0,-93.95834085,-21.87500175
0.0,57.70833795,78.54167295
0.0,-106.45834185,-0.625000049999997
0.0,157.29167925,37.70833635
0.0,-56.87500455,67.29167205
0.0,-42.70833675,-39.79166985
0.0,106.87500855,43.54167015
0.0,1.04166674999999,-1.87500015000001
0.0,-10.20833415,38.54166975
0.0,-23.95833525,71.45833905
0.0,-106.45834185,16.04166795
0.0,78.12500625,-37.70833635
32.0,103.54167495,68.54167215
0.0,-163.12501305,-37.29166965
0.0,-136.45834425,-46.87500375
0.0,-71.87500575,29.37500235
0.0,-158.95834605,3.95833365
0.0,87.29167365,39.37500315
0.0,-128.12501025,71.87500575
0.0,-155.62501245,-39.79166985
0.0,-140.62501125,-17.29166805
0.0,-71.45833905,62.70833835
0.0,82.29167325,2.29166685
0.0,-116.45834265,7.70833395
0.0,-49.37500395,-4.79166705
0.0,-3.95833365000001,-21.87500175
0.0,-48.95833725,-34.37500275
0.0,-84.79167345,-53.54167095
0.0,-46.04167035,63.12500505
0.0,-58.54167135,30.62500245
23.0,100.20834135,76.04167275
0.0,153.54167895,-37.70833635
0.0,-57.70833795,18.95833485
0.0,11.04166755,54.37500435
0.0,75.62500605,-25.62500205
31.0,163.54167975,66.87500535
0.0,125.20834335,13.12500105
0.0,-99.79167465,79.37500635
12.0,-83.12500665,48.54167055
0.0,168.95834685,32.29166925
0.0,-21.45833505,27.70833555
0.0,-148.95834525,5.62500045
0.0,-23.95833525,59.37500475
0.0,-26.45833545,78.12500625
0.0,30.20833575,80.20833975
0.0,38.95833645,-18.54166815
25.0,8.12500064999998,6.04166714999999
0.0,-175.20834735,-38.54166975
0.0,-148.12501185,-46.45833705
0.0,-98.54167455,-26.87500215
0.0,11.04166755,-6.87500055
0.0,26.87500215,23.95833525
0.0,-103.95834165,68.54167215
0.0,-122.29167645,-25.20833535
0.0,-119.79167625,-26.45833545
