"variable","percent.contribution","permutation.importance"
"bio14",7.9359,6.4493
"bio16",13.6333,8.4173
"bio2",19.1766,0.4082
"bio4",43.7137,39.7657
"ruggedness",11.549,30.3714
"sand",3.9907,14.5737
"soc",8e-04,0.0145
