"variable","percent.contribution","permutation.importance"
"bio12",17.1724,22.2833
"bio15",5.4948,7.7741
"bio2",9.8334,17.996
"bio4",17.0235,15.448
"bio8",22.2512,9.7836
"nitrogen",6.9085,5.106
"ruggedness",16.7775,16.7991
"sand",4.5386,4.8099
