"variable","percent.contribution","permutation.importance"
"bio14",0,0
"bio15",0,0
"bio2",0,0
"bio4",0,0
"bio5",90.1751,93.1076
"ruggedness",9.7875,6.8924
"sand",0,0
"soc",0.0374,0
