"variable","percent.contribution","permutation.importance"
"bio13",13.5358,17.6858
"bio14",3.4069,0
"bio15",21.6698,23.2025
"bio2",0.9885,3.1863
"bio4",16.9837,37.5914
"bio9",11.3851,7.229
"ruggedness",11.0938,7.631
"sand",20.9364,3.4741
