x,y,prop_nod
-179.1666667,65.975,0
-179.1666667,66.39166667,0
-178.75,65.975,0
-178.75,66.39166667,0
-178.3333333,65.55833333,0
-178.3333333,65.975,0
-178.3333333,66.39166667,0
-177.9166667,65.55833333,0
-177.9166667,65.975,0
-177.9166667,66.39166667,0
-177.5,65.55833333,0
-177.5,65.975,0
-177.5,66.39166667,0
-177.0833333,65.55833333,0
-177.0833333,65.975,0
-177.0833333,66.39166667,0
-176.6666667,65.55833333,0
-176.6666667,65.975,0
-176.6666667,66.39166667,0
-176.25,65.55833333,0
-176.25,65.975,0
-176.25,66.39166667,0
-176.25,66.80833333,0
-175.8333333,65.14166667,0
-175.8333333,65.55833333,0
-175.4166667,64.725,0
-175.4166667,65.14166667,0
-175.4166667,65.55833333,0
-175.4166667,67.225,0
-175,64.725,0
-175,65.14166667,0
-175,65.55833333,0
-174.5833333,64.725,0
-174.5833333,65.14166667,0
-174.5833333,65.55833333,0
-174.1666667,64.725,0
-174.1666667,65.14166667,0
-174.1666667,65.55833333,0
-174.1666667,66.39166667,0
-173.75,64.30833333,0
-173.75,64.725,0
-173.75,65.14166667,0
-173.75,65.55833333,0
-173.75,66.39166667,0
-173.75,66.80833333,0
-173.3333333,64.30833333,0
-173.3333333,64.725,0
-173.3333333,65.14166667,0
-173.3333333,65.55833333,0
-173.3333333,66.39166667,0
-173.3333333,66.80833333,0
-173.3333333,67.64166667,0
-172.9166667,64.725,0
-172.9166667,65.14166667,0
-172.9166667,65.975,0
-172.9166667,66.39166667,0
-172.9166667,67.225,0
-172.5,65.14166667,0
-172.5,66.39166667,0
-172.0833333,63.475,0
-172.0833333,63.89166667,0
-172.0833333,64.30833333,0
-172.0833333,64.725,0
-172.0833333,65.55833333,0
-172.0833333,65.975,0
-172.0833333,66.80833333,0
-172.0833333,67.225,0
-171.6666667,63.05833333,0
-171.6666667,63.475,0
-171.6666667,63.89166667,0
-171.6666667,65.55833333,0
-171.6666667,65.975,0
-171.6666667,66.39166667,0
-171.6666667,66.80833333,0
-171.6666667,67.225,0
-171.25,63.05833333,0
-171.25,63.475,0
-171.25,63.89166667,0
-171.25,65.55833333,0
-171.25,66.39166667,0
-171.25,66.80833333,0
-170.8333333,63.475,0
-170.8333333,63.89166667,0
-170.8333333,66.39166667,0
-170.4166667,63.05833333,0
-170.4166667,63.475,0
-170.4166667,63.89166667,0
-170.4166667,65.55833333,0
-170.4166667,66.39166667,0
-170,63.05833333,0
-170,63.475,0
-170,63.89166667,0
-170,65.975,0
-169.5833333,62.64166667,0
-169.5833333,63.05833333,0
-169.5833333,63.475,0
-169.5833333,65.975,0
-169.1666667,63.05833333,0
-169.1666667,63.475,0
-169.1666667,65.55833333,0
-169.1666667,65.975,0
-168.75,63.05833333,0
-168.75,65.55833333,0
-168.75,65.975,0
-167.9166667,65.55833333,0
-167.9166667,65.975,0
-167.5,60.14166667,0
-167.5,60.55833333,0
-167.5,65.14166667,0
-167.5,65.55833333,0
-167.5,65.975,0
-167.5,66.39166667,0
-167.0833333,60.55833333,0
-167.0833333,65.14166667,0
-167.0833333,65.55833333,0
-167.0833333,66.39166667,0
-166.6666667,59.725,0
-166.6666667,60.14166667,0
-166.6666667,60.55833333,0
-166.6666667,61.80833333,0
-166.6666667,65.14166667,0
-166.6666667,65.55833333,0
-166.6666667,65.975,0
-166.6666667,66.39166667,0
-166.6666667,68.05833333,0
-166.6666667,68.475,0
-166.6666667,68.89166667,0
-166.25,59.725,0
-166.25,60.14166667,0
-166.25,60.55833333,0
-166.25,61.39166667,0
-166.25,61.80833333,0
-166.25,62.225,0
-166.25,64.30833333,0
-166.25,64.725,0
-166.25,65.14166667,0
-166.25,65.55833333,0
-166.25,65.975,0
-166.25,66.39166667,0
-166.25,66.80833333,0
-166.25,68.05833333,0
-166.25,68.475,0
-166.25,68.89166667,0
-166.25,69.30833333,0
-165.8333333,59.725,0
-165.8333333,60.14166667,0
-165.8333333,60.55833333,0
-165.8333333,60.975,0
-165.8333333,61.39166667,0
-165.8333333,61.80833333,0
-165.8333333,62.225,0
-165.8333333,64.30833333,0
-165.8333333,64.725,0
-165.8333333,65.14166667,0
-165.8333333,65.55833333,0
-165.8333333,65.975,0
-165.8333333,66.39166667,0
-165.8333333,66.80833333,0
-165.8333333,68.05833333,0
-165.8333333,68.475,0
-165.8333333,68.89166667,0
-165.8333333,69.30833333,0
-165.4166667,59.725,0
-165.4166667,60.14166667,0
-165.4166667,60.55833333,0
-165.4166667,60.975,0.5
-165.4166667,61.39166667,0.333333333
-165.4166667,61.80833333,0.333333333
-165.4166667,62.225,0.5
-165.4166667,62.64166667,0.333333333
-165.4166667,64.30833333,0
-165.4166667,64.725,0
-165.4166667,65.14166667,0
-165.4166667,65.55833333,0
-165.4166667,65.975,0
-165.4166667,66.39166667,0
-165.4166667,66.80833333,0
-165.4166667,68.05833333,0
-165.4166667,68.475,0
-165.4166667,68.89166667,0
-165.4166667,69.30833333,0
-165,60.14166667,0
-165,60.55833333,0.333333333
-165,60.975,0.333333333
-165,61.39166667,0.5
-165,61.80833333,0.333333333
-165,62.225,0.333333333
-165,62.64166667,0.5
-165,63.05833333,0.333333333
-165,64.30833333,0
-165,64.725,0
-165,65.14166667,0
-165,65.55833333,0
-165,65.975,0
-165,66.39166667,0
-165,66.80833333,0
-165,67.64166667,0
-165,68.05833333,0
-165,68.475,0
-165,68.89166667,0
-165,69.30833333,0
-164.5833333,54.725,0
-164.5833333,60.14166667,0.5
-164.5833333,60.55833333,0
-164.5833333,60.975,0.333333333
-164.5833333,61.39166667,0.666666667
-164.5833333,61.80833333,0
-164.5833333,62.225,0.5
-164.5833333,62.64166667,0.5
-164.5833333,63.05833333,0
-164.5833333,63.475,0.333333333
-164.5833333,64.30833333,0
-164.5833333,64.725,0
-164.5833333,65.14166667,0
-164.5833333,65.55833333,0
-164.5833333,65.975,0
-164.5833333,66.39166667,0
-164.5833333,66.80833333,0
-164.5833333,67.64166667,0
-164.5833333,68.05833333,0
-164.5833333,68.475,0
-164.5833333,68.89166667,0
-164.5833333,69.30833333,0
-164.1666667,54.30833333,1
-164.1666667,54.725,0
-164.1666667,55.14166667,0.5
-164.1666667,59.30833333,1
-164.1666667,59.725,0
-164.1666667,60.14166667,0.333333333
-164.1666667,60.55833333,0.333333333
-164.1666667,60.975,0.5
-164.1666667,61.39166667,0.5
-164.1666667,61.80833333,0.333333333
-164.1666667,62.225,0.333333333
-164.1666667,62.64166667,0.333333333
-164.1666667,63.05833333,0.333333333
-164.1666667,63.475,0.333333333
-164.1666667,64.30833333,0
