"variable","percent.contribution","permutation.importance"
"bio13",7.6847,13.9336
"bio14",27.7722,33.8839
"bio2",0.6979,0.1455
"bio8",1.04,1.8056
"elevation",60.0002,46.2684
"ruggedness",2.6202,3.7106
"sand",0.1847,0.2523
