"variable","percent.contribution","permutation.importance"
"bio14",10.9212,17.5402
"bio15",1.7723,8.3305
"bio2",3.6109,1.2526
"bio4",25.4797,38.599
"bio9",11.9807,14.0064
"nitrogen",37.2744,14.0924
"ruggedness",8.4753,5.0259
"sand",0.4855,1.153
