LandCover_6_Herbaceous,x,y
0.0,93.6875,21.3125
5.0,-76.8125,41.6875
0.0,-103.1875,20.1875
0.0,18.4375,44.8125
37.0,-76.3125,67.4375
0.0,-89.3125,52.5625
31.0,-89.9375,64.5625
0.0,-99.8125,63.4375
0.0,-0.3125,47.9375
0.0,104.4375,61.8125
52.0,109.3125,35.8125
0.0,103.1875,4.8125
0.0,24.9375,46.6875
16.0,-93.9375,45.9375
0.0,115.6875,32.5625
0.0,31.5625,68.0625
0.0,105.1875,56.0625
0.0,30.5625,66.9375
0.0,117.5625,3.9375
0.0,82.1875,70.4375
0.0,109.4375,72.5625
42.0,151.8125,-30.1875
0.0,-111.0625,56.8125
0.0,55.4375,64.6875
35.0,-109.4375,38.5625
19.0,140.9375,-32.8125
0.0,152.5625,-25.0625
0.0,-82.6875,44.4375
24.0,-72.4375,-44.6875
0.0,47.9375,58.6875
15.0,-93.4375,43.4375
13.0,-95.9375,34.3125
0.0,-85.5625,47.0625
0.0,13.6875,48.4375
0.0,10.9375,51.6875
0.0,-64.9375,45.5625
0.0,123.4375,54.1875
8.0,-81.4375,27.0625
0.0,97.6875,19.4375
0.0,84.3125,50.4375
9.0,-90.8125,43.9375
0.0,31.6875,-25.9375
5.0,-91.4375,14.4375
0.0,-64.5625,52.9375
0.0,35.6875,62.4375
0.0,64.3125,62.1875
0.0,147.4375,61.6875
0.0,37.3125,48.4375
0.0,37.3125,49.8125
28.0,-121.4375,73.1875
0.0,-119.1875,34.8125
0.0,27.0625,39.8125
0.0,119.5625,4.8125
0.0,-89.0625,16.6875
0.0,133.6875,64.6875
0.0,-147.8125,69.5625
30.0,-101.3125,65.8125
0.0,58.3125,58.5625
0.0,33.0625,53.4375
0.0,109.6875,58.6875
0.0,-74.0625,46.9375
0.0,-61.5625,51.1875
0.0,113.5625,54.5625
57.0,-98.3125,35.0625
0.0,97.1875,57.6875
10.0,-78.5625,53.5625
40.0,5.4375,44.1875
0.0,-157.3125,71.0625
0.0,112.5625,30.5625
0.0,123.0625,54.5625
24.0,122.0625,-30.1875
15.0,97.3125,54.0625
0.0,138.9375,-3.8125
18.0,99.8125,51.3125
21.0,174.9375,64.1875
0.0,118.0625,29.5625
0.0,87.1875,61.6875
0.0,41.6875,62.4375
12.0,27.3125,-25.3125
52.0,93.6875,51.5625
17.0,22.6875,53.1875
0.0,-119.1875,51.9375
0.0,53.4375,57.4375
0.0,75.9375,11.1875
8.0,-72.6875,55.3125
0.0,-121.4375,54.4375
0.0,21.8125,56.9375
0.0,15.3125,53.3125
0.0,130.5625,42.0625
0.0,-80.5625,41.0625
0.0,163.6875,63.0625
0.0,22.5625,56.1875
0.0,-97.5625,58.6875
0.0,103.1875,54.5625
33.0,-20.3125,65.4375
0.0,104.8125,60.3125
0.0,165.1875,60.9375
0.0,13.1875,56.3125
14.0,152.1875,-26.4375
0.0,37.0625,58.4375
0.0,-106.4375,23.5625
0.0,119.0625,56.4375
0.0,34.8125,62.8125
0.0,-81.5625,37.4375
26.0,121.4375,49.9375
0.0,29.9375,57.3125
23.0,-92.0625,43.3125
8.0,17.6875,51.5625
0.0,14.1875,57.0625
0.0,-82.8125,41.8125
0.0,-132.9375,67.3125
0.0,91.5625,63.9375
0.0,151.9375,63.5625
0.0,-160.9375,69.0625
0.0,82.5625,50.9375
0.0,-93.5625,56.1875
0.0,-0.0625,48.0625
0.0,100.3125,50.5625
28.0,20.5625,69.1875
0.0,132.8125,66.6875
4.0,-121.3125,64.6875
13.0,73.4375,56.6875
21.0,160.8125,62.3125
0.0,-111.9375,26.5625
0.0,94.6875,30.4375
0.0,-100.8125,65.0625
0.0,-51.9375,64.1875
0.0,113.0625,31.0625
0.0,129.1875,58.5625
0.0,-156.3125,68.1875
0.0,104.1875,18.8125
0.0,38.6875,58.9375
33.0,108.6875,38.4375
67.0,-97.8125,32.9375
0.0,99.1875,2.1875
0.0,115.8125,31.5625
22.0,-115.6875,67.3125
0.0,-70.1875,59.5625
0.0,66.0625,56.0625
0.0,5.8125,35.5625
14.0,75.3125,69.5625
19.0,-115.9375,65.9375
0.0,87.6875,60.1875
21.0,48.1875,41.9375
0.0,31.4375,-28.6875
0.0,11.0625,51.0625
33.0,-108.8125,38.3125
0.0,-66.9375,55.4375
0.0,16.0625,56.5625
0.0,-86.4375,54.9375
19.0,9.0625,53.4375
0.0,62.0625,69.5625
0.0,-112.1875,55.3125
0.0,53.4375,66.9375
4.0,-80.4375,44.3125
14.0,-116.1875,62.3125
7.0,-139.4375,59.4375
52.0,106.3125,51.0625
0.0,41.0625,45.1875
0.0,130.0625,28.3125
0.0,31.6875,49.8125
0.0,26.1875,65.0625
18.0,114.1875,57.3125
0.0,99.9375,70.1875
7.0,-114.8125,54.3125
41.0,135.8125,48.5625
0.0,137.3125,34.8125
11.0,-100.1875,19.0625
40.0,-121.8125,69.4375
7.0,-108.9375,62.0625
0.0,-1.9375,40.3125
0.0,-84.1875,53.8125
26.0,70.8125,69.9375
0.0,-123.1875,45.4375
27.0,76.6875,71.9375
0.0,154.1875,60.8125
0.0,144.1875,60.4375
0.0,153.5625,67.4375
0.0,48.8125,58.6875
0.0,19.3125,58.1875
0.0,40.5625,50.5625
0.0,-145.4375,65.1875
6.0,-69.3125,55.0625
0.0,-105.6875,55.1875
0.0,-5.8125,42.8125
0.0,-114.3125,57.0625
0.0,19.3125,60.1875
19.0,73.8125,65.6875
12.0,104.4375,23.5625
52.0,50.1875,32.4375
0.0,36.6875,53.0625
7.0,-124.8125,68.0625
27.0,-139.5625,69.0625
0.0,-73.1875,46.8125
0.0,-105.3125,27.8125
0.0,137.1875,50.5625
0.0,169.0625,63.9375
0.0,162.1875,65.9375
0.0,135.4375,63.8125
0.0,110.6875,30.5625
27.0,-129.9375,62.8125
0.0,48.0625,-21.1875
0.0,95.9375,27.1875
0.0,121.5625,40.9375
24.0,-143.0625,62.9375
0.0,98.9375,57.6875
0.0,-136.6875,68.1875
0.0,-102.1875,58.6875
26.0,-73.3125,-45.5625
0.0,109.8125,0.8125
29.0,103.8125,27.0625
0.0,120.8125,58.9375
0.0,115.0625,-33.4375
45.0,-152.4375,70.5625
0.0,15.6875,37.9375
0.0,48.0625,34.3125
0.0,98.6875,24.0625
0.0,3.3125,44.4375
28.0,-108.5625,32.9375
37.0,-119.8125,43.4375
0.0,33.6875,45.8125
0.0,-159.4375,63.3125
0.0,103.9375,9.9375
13.0,-103.0625,21.4375
0.0,43.6875,53.9375
0.0,18.1875,65.1875
0.0,27.4375,66.0625
0.0,-63.8125,56.6875
1.0,-65.5625,-18.3125
8.0,-67.0625,45.6875
0.0,66.1875,65.1875
0.0,138.1875,59.3125
0.0,94.9375,22.4375
0.0,166.1875,60.8125
0.0,17.3125,43.1875
42.0,-20.3125,65.5625
0.0,114.6875,-28.6875
25.0,-84.9375,63.1875
0.0,82.0625,57.4375
10.0,27.8125,-24.5625
0.0,117.9375,28.4375
0.0,110.4375,72.5625
0.0,-116.8125,53.0625
14.0,18.3125,68.3125
0.0,107.8125,26.8125
73.0,-163.3125,61.6875
0.0,9.4375,56.5625
13.0,-99.6875,30.4375
0.0,31.3125,63.3125
0.0,107.9375,-2.5625
0.0,24.1875,71.0625
0.0,140.9375,38.9375
0.0,-71.5625,-40.4375
0.0,-67.1875,66.0625
0.0,112.0625,1.4375
0.0,137.6875,58.9375
0.0,88.8125,66.6875
0.0,127.0625,38.5625
0.0,12.9375,62.3125
0.0,116.8125,0.6875
0.0,57.1875,68.0625
0.0,25.1875,57.6875
3.0,8.8125,55.9375
0.0,107.3125,56.4375
0.0,12.4375,44.3125
0.0,1.9375,47.9375
0.0,5.8125,46.9375
0.0,132.5625,67.4375
0.0,-64.5625,47.5625
0.0,111.6875,55.9375
0.0,125.1875,59.0625
0.0,28.1875,40.9375
0.0,91.6875,67.3125
34.0,146.8125,75.3125
0.0,57.4375,59.6875
0.0,-95.4375,50.4375
0.0,73.8125,57.5625
0.0,172.5625,66.6875
0.0,98.6875,69.4375
13.0,55.9375,74.4375
29.0,140.4375,58.0625
0.0,17.8125,64.3125
0.0,112.6875,24.3125
0.0,-66.1875,54.0625
0.0,42.6875,53.4375
26.0,175.4375,62.5625
0.0,-118.6875,72.6875
58.0,-19.1875,65.3125
41.0,-156.8125,58.4375
4.0,-108.6875,28.3125
12.0,160.8125,56.3125
0.0,29.8125,-1.0625
13.0,-82.8125,41.3125
0.0,107.6875,56.9375
0.0,29.4375,-26.6875
0.0,128.9375,64.0625
0.0,140.5625,61.6875
0.0,129.4375,35.8125
0.0,36.6875,-8.9375
0.0,35.4375,-23.8125
0.0,66.6875,61.5625
25.0,30.0625,-26.8125
0.0,-62.9375,55.5625
100.0,102.3125,33.5625
14.0,-93.4375,42.8125
0.0,-90.1875,37.1875
0.0,63.9375,55.9375
0.0,158.8125,56.0625
0.0,104.3125,65.6875
15.0,-126.8125,61.5625
0.0,46.4375,54.9375
0.0,148.0625,64.8125
14.0,31.1875,-27.6875
0.0,137.0625,65.6875
0.0,19.9375,65.1875
0.0,82.0625,66.9375
0.0,105.6875,16.9375
0.0,144.3125,59.5625
51.0,119.8125,43.9375
0.0,-121.5625,74.5625
0.0,143.8125,60.9375
11.0,112.0625,35.5625
0.0,46.6875,33.9375
22.0,-141.1875,68.3125
21.0,93.6875,19.8125
0.0,-122.6875,41.3125
14.0,-99.3125,46.0625
0.0,-71.5625,55.6875
0.0,133.9375,56.8125
0.0,129.6875,-31.5625
0.0,-102.9375,55.8125
0.0,65.0625,65.8125
0.0,-121.6875,56.6875
19.0,-64.3125,51.5625
0.0,118.3125,1.0625
0.0,19.4375,49.8125
0.0,28.3125,-25.3125
0.0,85.8125,66.3125
0.0,-93.3125,56.1875
0.0,16.3125,47.8125
0.0,38.3125,61.8125
0.0,61.4375,54.6875
0.0,-118.1875,65.6875
0.0,114.9375,-4.1875
0.0,145.1875,-4.6875
0.0,147.0625,64.5625
8.0,-73.1875,46.0625
0.0,79.6875,60.6875
0.0,6.1875,44.8125
0.0,163.1875,68.3125
30.0,-111.0625,40.1875
0.0,175.9375,64.0625
0.0,-124.8125,52.1875
17.0,-144.4375,67.4375
14.0,81.6875,71.4375
19.0,-96.9375,43.6875
0.0,147.3125,44.9375
15.0,-97.5625,50.4375
0.0,-78.9375,41.0625
0.0,118.9375,39.5625
6.0,-1.3125,48.9375
0.0,107.3125,11.5625
27.0,33.6875,36.5625
0.0,133.1875,33.0625
0.0,-144.4375,65.6875
0.0,12.0625,52.4375
0.0,151.0625,60.9375
12.0,-73.8125,49.8125
14.0,114.5625,54.5625
21.0,157.5625,55.8125
0.0,128.6875,46.0625
14.0,75.5625,65.8125
0.0,106.9375,25.8125
0.0,96.4375,25.9375
0.0,125.9375,63.5625
22.0,-92.6875,42.0625
0.0,-119.3125,40.6875
26.0,-112.4375,34.5625
0.0,-127.6875,55.3125
0.0,137.0625,53.0625
0.0,152.1875,-29.6875
50.0,38.4375,40.1875
0.0,146.1875,-17.4375
0.0,-123.3125,42.5625
17.0,117.6875,54.9375
0.0,-84.4375,43.1875
32.0,31.9375,69.4375
0.0,-141.1875,66.9375
11.0,-65.5625,43.5625
66.0,-109.8125,46.6875
0.0,35.6875,61.8125
0.0,-62.9375,45.4375
0.0,-152.0625,64.1875
45.0,-95.0625,36.5625
0.0,-49.5625,61.5625
8.0,13.4375,57.6875
0.0,11.9375,49.4375
0.0,-118.4375,63.4375
0.0,-106.9375,54.9375
0.0,80.0625,66.0625
11.0,-81.0625,40.6875
0.0,45.9375,62.6875
0.0,-154.9375,63.8125
14.0,35.9375,68.0625
0.0,53.8125,55.4375
0.0,-98.0625,49.9375
27.0,-109.4375,44.0625
0.0,155.5625,63.8125
0.0,-124.0625,49.3125
13.0,-100.3125,63.0625
0.0,-62.9375,45.3125
34.0,-44.8125,61.0625
0.0,69.3125,56.6875
0.0,11.4375,45.9375
36.0,-96.5625,39.0625
26.0,-100.4375,65.6875
0.0,102.0625,39.1875
0.0,89.5625,65.9375
58.0,-106.1875,49.1875
0.0,2.3125,45.9375
0.0,136.1875,-31.8125
25.0,-84.9375,64.3125
2.0,3.0625,44.6875
0.0,-90.8125,48.4375
36.0,120.3125,46.3125
77.0,-96.5625,38.4375
0.0,-107.5625,25.9375
0.0,79.0625,57.6875
0.0,176.6875,64.5625
23.0,-93.1875,40.9375
46.0,-112.6875,36.9375
0.0,142.6875,49.5625
0.0,25.8125,62.4375
0.0,-0.9375,39.0625
0.0,123.8125,44.0625
0.0,-132.9375,67.0625
0.0,-110.0625,56.4375
14.0,100.1875,73.4375
0.0,84.8125,57.1875
0.0,-24.4375,71.1875
0.0,127.0625,38.4375
0.0,-149.1875,61.6875
0.0,37.1875,61.0625
0.0,-52.8125,65.4375
0.0,82.9375,56.3125
0.0,-91.9375,45.5625
4.0,-88.9375,32.8125
0.0,132.5625,33.9375
0.0,122.3125,57.8125
0.0,106.6875,30.9375
0.0,142.8125,44.5625
26.0,-136.4375,64.8125
0.0,-90.5625,49.8125
0.0,-67.1875,46.9375
0.0,87.9375,51.9375
0.0,166.5625,66.6875
14.0,48.4375,33.6875
0.0,58.4375,68.4375
0.0,-94.9375,56.1875
0.0,100.3125,53.6875
0.0,43.1875,52.6875
0.0,84.6875,63.8125
57.0,103.5625,35.0625
51.0,102.6875,47.8125
48.0,96.5625,29.0625
20.0,-95.4375,41.3125
0.0,-91.4375,30.6875
0.0,-77.8125,51.4375
0.0,-2.6875,39.5625
0.0,-78.3125,57.0625
0.0,133.4375,51.4375
0.0,84.4375,54.1875
0.0,175.3125,63.0625
13.0,30.9375,58.9375
0.0,-52.9375,47.6875
0.0,130.4375,56.5625
0.0,88.0625,55.4375
0.0,109.1875,34.1875
0.0,-78.4375,41.6875
0.0,94.5625,55.9375
0.0,64.0625,56.1875
0.0,-116.1875,44.3125
0.0,82.9375,68.3125
0.0,-109.5625,58.3125
0.0,-8.3125,39.8125
39.0,-111.1875,47.9375
31.0,-110.8125,47.6875
0.0,47.1875,34.3125
14.0,66.9375,68.1875
42.0,-155.4375,58.9375
0.0,118.1875,61.0625
0.0,85.1875,65.0625
0.0,-133.5625,69.4375
0.0,22.3125,37.1875
26.0,-153.3125,68.3125
0.0,3.4375,46.5625
29.0,101.6875,38.6875
0.0,-126.1875,52.9375
0.0,110.3125,20.5625
0.0,116.1875,29.9375
0.0,-50.8125,62.8125
8.0,-91.0625,44.9375
0.0,13.9375,56.8125
0.0,113.6875,33.4375
0.0,28.6875,37.3125
0.0,-109.4375,28.5625
0.0,121.9375,-32.4375
0.0,128.4375,63.4375
0.0,35.4375,62.0625
0.0,-101.1875,56.1875
0.0,0.4375,44.1875
0.0,77.1875,55.9375
24.0,-93.3125,43.9375
24.0,21.5625,41.4375
25.0,-96.0625,43.5625
26.0,55.0625,70.9375
0.0,115.9375,27.6875
0.0,116.1875,25.1875
0.0,-20.6875,75.1875
0.0,-82.8125,54.1875
0.0,32.8125,49.9375
0.0,-102.9375,19.8125
0.0,155.1875,59.1875
0.0,-90.9375,51.1875
0.0,11.6875,58.9375
0.0,46.3125,54.0625
24.0,-99.6875,37.6875
31.0,73.5625,36.5625
0.0,129.5625,70.5625
0.0,99.3125,15.6875
13.0,29.0625,39.8125
0.0,-84.9375,47.0625
17.0,-1.1875,51.8125
0.0,87.3125,60.1875
0.0,24.8125,48.9375
13.0,35.4375,68.9375
0.0,-73.4375,-40.0625
0.0,87.8125,65.3125
38.0,-52.5625,69.8125
31.0,-99.5625,27.0625
0.0,3.0625,47.4375
0.0,-6.9375,41.9375
0.0,-66.5625,-55.0625
0.0,130.5625,32.9375
0.0,-54.0625,49.6875
0.0,89.1875,59.3125
0.0,89.0625,23.3125
24.0,55.9375,74.8125
0.0,33.0625,35.9375
0.0,22.4375,41.4375
14.0,151.6875,-26.6875
0.0,100.8125,67.9375
0.0,-51.4375,68.1875
0.0,-82.0625,47.0625
92.0,-8.5625,52.6875
15.0,36.8125,68.5625
0.0,78.8125,56.4375
24.0,-100.4375,49.5625
0.0,4.6875,48.1875
14.0,154.3125,59.1875
0.0,39.9375,54.8125
0.0,140.5625,73.3125
0.0,-152.4375,60.3125
0.0,13.3125,43.1875
0.0,115.9375,39.0625
0.0,82.4375,59.6875
0.0,-122.5625,64.9375
0.0,70.8125,63.8125
27.0,-132.9375,65.4375
0.0,-96.1875,17.5625
11.0,-73.3125,54.1875
34.0,119.3125,44.6875
0.0,106.1875,29.8125
0.0,133.4375,60.8125
0.0,95.6875,24.9375
51.0,103.9375,46.6875
0.0,-97.1875,48.8125
11.0,33.9375,35.0625
0.0,134.4375,33.8125
69.0,-96.9375,37.6875
0.0,-70.9375,50.8125
84.0,-99.9375,25.9375
0.0,105.9375,51.4375
0.0,151.8125,60.9375
0.0,106.6875,20.5625
0.0,125.9375,48.0625
0.0,32.9375,-19.8125
0.0,96.6875,72.5625
28.0,128.0625,52.5625
0.0,2.8125,49.1875
0.0,128.0625,38.5625
0.0,88.5625,65.5625
0.0,47.4375,53.4375
0.0,114.3125,27.5625
0.0,-103.4375,61.1875
0.0,36.4375,62.5625
0.0,55.3125,74.3125
0.0,2.8125,44.8125
0.0,-97.8125,36.5625
0.0,73.8125,64.5625
0.0,-145.9375,60.5625
2.0,15.9375,47.4375
0.0,-72.1875,-37.8125
0.0,115.4375,52.3125
0.0,98.9375,2.6875
0.0,84.3125,67.6875
52.0,116.3125,42.3125
0.0,-124.5625,54.5625
24.0,-125.9375,51.4375
0.0,127.1875,63.6875
0.0,123.0625,-0.8125
0.0,21.0625,55.3125
0.0,11.9375,43.5625
0.0,-61.1875,50.9375
14.0,145.0625,66.3125
0.0,45.4375,60.1875
37.0,95.8125,29.1875
0.0,-77.1875,67.3125
0.0,108.3125,30.5625
0.0,117.3125,25.4375
0.0,-3.9375,53.3125
0.0,-79.9375,43.9375
0.0,87.6875,56.5625
7.0,-103.6875,62.3125
0.0,16.9375,67.6875
0.0,95.1875,59.4375
0.0,166.9375,60.6875
0.0,166.3125,54.6875
0.0,28.5625,53.1875
28.0,127.8125,71.3125
51.0,120.3125,44.1875
23.0,143.4375,-36.8125
14.0,55.6875,68.4375
