ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,x,y
-9999.0,-55.4375,50.0625
-9999.0,-141.1875,69.6875
10.0,132.3125,54.5625
4.0,126.6875,55.1875
1.0,34.5625,-24.6875
4.0,58.4375,67.5625
4.0,-101.3125,51.1875
3.0,-97.0625,33.6875
8.0,98.0625,68.6875
17.0,148.3125,-42.1875
0.0,55.3125,58.5625
8.0,91.4375,63.9375
1.0,-98.4375,42.6875
12.0,92.5625,49.5625
0.0,-91.5625,41.4375
16.0,-121.6875,37.3125
2.0,112.5625,52.1875
18.0,98.0625,48.0625
-9999.0,86.5625,20.0625
4.0,102.9375,65.9375
4.0,-120.3125,67.6875
23.0,102.3125,21.8125
-9999.0,-76.0625,34.9375
12.0,-56.4375,52.5625
14.0,127.4375,41.3125
-9999.0,108.4375,10.9375
8.0,118.6875,39.8125
19.0,-131.0625,63.8125
3.0,-93.0625,39.3125
4.0,-85.6875,37.1875
34.0,93.9375,31.3125
1.0,58.0625,56.0625
13.0,-161.4375,67.8125
6.0,28.1875,57.6875
19.0,106.4375,26.6875
18.0,26.4375,70.8125
5.0,-99.5625,58.9375
14.0,-3.8125,42.0625
23.0,6.9375,45.8125
5.0,116.8125,28.4375
12.0,-82.6875,46.8125
7.0,-77.6875,54.0625
15.0,-62.9375,49.3125
14.0,6.0625,46.0625
13.0,131.3125,-31.1875
18.0,-138.5625,65.0625
1.0,61.4375,55.6875
2.0,103.6875,61.5625
21.0,82.0625,29.1875
13.0,28.1875,66.0625
5.0,26.0625,56.1875
16.0,110.3125,38.5625
15.0,-78.6875,46.9375
16.0,-143.8125,63.9375
4.0,140.6875,-31.8125
1.0,141.0625,-8.6875
23.0,-123.5625,45.6875
25.0,-99.8125,21.6875
8.0,110.1875,40.4375
11.0,139.9375,34.9375
7.0,119.8125,28.9375
3.0,135.1875,51.0625
19.0,-96.3125,17.1875
13.0,164.5625,64.4375
10.0,119.0625,41.6875
5.0,-92.1875,45.9375
13.0,-156.6875,62.0625
12.0,-98.1875,21.0625
6.0,22.8125,54.5625
1.0,89.3125,56.1875
4.0,-81.3125,35.3125
7.0,-52.1875,68.0625
15.0,21.8125,77.8125
14.0,-163.3125,65.8125
0.0,-96.5625,40.6875
14.0,-70.6875,48.0625
10.0,144.0625,59.5625
1.0,-74.5625,58.4375
-9999.0,15.8125,78.9375
6.0,-88.9375,45.3125
25.0,-149.8125,63.3125
4.0,98.6875,60.1875
21.0,-2.0625,40.6875
24.0,-116.8125,39.8125
12.0,158.4375,52.6875
-9999.0,36.5625,69.0625
3.0,-84.3125,39.4375
2.0,83.8125,62.6875
19.0,-112.9375,42.4375
6.0,94.0625,62.9375
18.0,117.1875,-34.3125
13.0,120.4375,-32.6875
6.0,-106.9375,64.4375
1.0,81.8125,55.3125
3.0,75.1875,71.1875
5.0,27.3125,-26.1875
6.0,-141.5625,65.3125
-9999.0,-115.1875,62.4375
5.0,-133.0625,67.3125
28.0,70.3125,35.1875
0.0,-150.9375,70.0625
-9999.0,129.9375,40.8125
4.0,132.0625,52.6875
