soiltype_mostprobable,x,y
18.0,-112.4375,34.1875
8.0,53.5625,72.8125
5.0,-103.3125,30.1875
6.0,-76.5625,2.6875
8.0,139.1875,59.0625
1.0,34.1875,54.3125
6.0,49.9375,37.4375
6.0,146.6875,-38.5625
255.0,-171.4375,63.1875
23.0,-150.1875,60.1875
23.0,-115.0625,46.9375
255.0,-120.1875,71.9375
14.0,139.6875,59.9375
8.0,160.0625,64.1875
18.0,100.6875,30.3125
6.0,-107.3125,44.5625
6.0,103.5625,18.9375
6.0,64.6875,68.4375
23.0,-66.6875,54.0625
8.0,-72.1875,63.9375
6.0,-137.0625,64.4375
14.0,100.6875,72.0625
18.0,114.5625,-28.1875
16.0,19.0625,-32.1875
0.0,96.5625,25.3125
1.0,31.3125,56.3125
6.0,-151.3125,64.4375
15.0,91.4375,46.8125
6.0,-91.3125,52.9375
6.0,-8.9375,51.5625
18.0,17.4375,48.6875
23.0,-160.6875,58.9375
6.0,130.5625,31.8125
14.0,147.6875,62.1875
18.0,82.3125,29.1875
16.0,41.8125,9.3125
18.0,-104.4375,36.9375
8.0,-124.5625,65.1875
255.0,-89.4375,29.0625
255.0,-74.9375,-45.6875
18.0,-88.1875,35.3125
6.0,-82.3125,8.6875
23.0,-66.6875,47.0625
8.0,101.0625,58.6875
0.0,26.5625,-25.6875
18.0,-5.0625,39.0625
23.0,155.9375,54.1875
14.0,-71.4375,67.3125
15.0,-97.8125,40.9375
14.0,-81.6875,53.0625
18.0,16.6875,52.3125
8.0,171.8125,68.5625
6.0,166.3125,66.4375
255.0,17.3125,76.8125
18.0,126.3125,40.4375
23.0,24.0625,65.9375
6.0,2.1875,42.9375
23.0,-129.1875,54.3125
7.0,82.5625,50.4375
255.0,-40.9375,64.8125
23.0,-120.3125,48.8125
23.0,-75.4375,51.6875
1.0,84.8125,59.6875
6.0,47.0625,-23.8125
18.0,-98.8125,21.0625
20.0,83.4375,57.0625
255.0,150.6875,-35.0625
29.0,-99.4375,25.0625
6.0,18.0625,64.5625
1.0,28.9375,55.9375
6.0,131.0625,50.0625
1.0,47.3125,64.6875
3.0,-72.9375,-47.8125
6.0,70.4375,71.0625
6.0,100.4375,55.9375
255.0,-68.9375,43.6875
10.0,128.3125,-0.8125
6.0,22.4375,56.6875
6.0,25.1875,47.4375
16.0,98.9375,31.9375
6.0,94.8125,61.8125
23.0,-56.6875,53.4375
7.0,82.6875,50.4375
15.0,-112.6875,51.4375
0.0,117.5625,29.4375
1.0,30.6875,51.4375
10.0,102.6875,-1.3125
255.0,-152.1875,61.3125
8.0,-151.6875,69.0625
18.0,17.5625,52.5625
6.0,10.9375,43.6875
15.0,120.6875,44.5625
16.0,100.0625,32.9375
2.0,107.9375,29.6875
255.0,-51.1875,63.4375
0.0,108.1875,13.0625
1.0,-91.6875,45.4375
1.0,35.4375,63.6875
6.0,-97.8125,16.6875
0.0,-89.0625,30.4375
20.0,90.9375,56.1875
6.0,114.1875,2.1875
6.0,105.0625,53.9375
6.0,-132.1875,64.9375
6.0,89.4375,26.9375
255.0,-9.9375,51.4375
18.0,19.0625,44.6875
8.0,-112.1875,67.4375
8.0,113.0625,59.0625
6.0,-133.5625,60.3125
6.0,114.0625,35.9375
255.0,-65.5625,61.6875
8.0,137.8125,57.3125
4.0,141.5625,-34.4375
7.0,60.8125,52.5625
15.0,-116.4375,45.6875
18.0,138.4375,-17.5625
20.0,122.0625,47.3125
6.0,-120.0625,48.9375
20.0,-100.5625,21.3125
6.0,-126.3125,54.9375
8.0,117.6875,62.6875
7.0,36.6875,51.4375
0.0,100.6875,18.3125
18.0,-89.9375,37.3125
23.0,-124.8125,50.4375
6.0,57.6875,61.1875
14.0,36.0625,68.6875
6.0,97.1875,52.5625
23.0,-77.0625,48.0625
6.0,-96.3125,64.4375
8.0,141.1875,59.1875
8.0,112.8125,57.9375
1.0,88.9375,58.6875
1.0,24.8125,54.1875
18.0,-83.1875,41.4375
6.0,-65.5625,57.9375
11.0,107.0625,33.0625
6.0,153.4375,60.1875
7.0,19.3125,51.8125
16.0,91.0625,28.3125
15.0,112.0625,48.0625
6.0,16.1875,50.8125
8.0,-24.0625,71.8125
7.0,121.9375,45.8125
6.0,9.1875,61.6875
7.0,39.8125,51.9375
8.0,95.0625,67.0625
6.0,136.3125,36.3125
255.0,104.4375,-0.6875
16.0,-101.6875,28.8125
6.0,-133.9375,59.9375
255.0,18.0625,68.8125
6.0,123.9375,71.8125
8.0,120.5625,61.0625
6.0,36.5625,40.6875
6.0,101.4375,51.6875
18.0,7.0625,36.8125
14.0,86.4375,65.4375
23.0,165.8125,64.3125
6.0,-119.1875,52.1875
255.0,-135.4375,57.0625
18.0,-116.0625,56.6875
18.0,-5.8125,38.1875
20.0,26.4375,52.1875
6.0,104.9375,55.8125
255.0,-18.8125,65.1875
18.0,109.3125,33.0625
8.0,89.3125,65.4375
6.0,134.0625,49.1875
20.0,45.5625,55.3125
255.0,-68.1875,58.5625
6.0,109.6875,32.9375
1.0,103.5625,56.8125
1.0,-84.9375,43.8125
1.0,43.9375,64.1875
1.0,42.4375,58.3125
255.0,15.4375,39.9375
8.0,149.1875,60.6875
6.0,-111.9375,67.4375
8.0,160.5625,68.0625
6.0,103.3125,73.3125
8.0,175.8125,66.9375
1.0,61.8125,62.5625
1.0,51.1875,55.9375
23.0,153.1875,48.0625
6.0,-160.6875,70.0625
23.0,126.5625,57.3125
23.0,-151.1875,59.8125
12.0,105.1875,14.9375
7.0,60.3125,53.9375
255.0,145.6875,43.1875
18.0,-98.1875,19.8125
0.0,110.8125,22.5625
255.0,-81.6875,42.4375
7.0,38.8125,51.3125
23.0,-61.8125,50.9375
6.0,86.0625,51.0625
14.0,-73.8125,66.1875
1.0,53.1875,61.1875
6.0,-77.0625,41.1875
255.0,-83.6875,45.5625
14.0,71.9375,70.1875
16.0,99.9375,29.9375
8.0,129.4375,53.5625
255.0,-128.4375,52.6875
8.0,123.6875,59.4375
23.0,-65.1875,54.9375
8.0,-69.6875,62.9375
6.0,127.5625,40.9375
16.0,99.4375,32.5625
6.0,19.5625,66.9375
16.0,92.0625,29.3125
6.0,-129.5625,62.3125
23.0,21.9375,61.9375
18.0,-90.0625,33.6875
6.0,-8.5625,40.5625
0.0,-83.8125,30.9375
6.0,-80.5625,45.6875
23.0,143.3125,52.5625
1.0,38.9375,57.9375
6.0,126.3125,34.6875
0.0,-83.3125,31.4375
255.0,-82.6875,44.5625
255.0,20.6875,63.6875
14.0,-91.5625,55.8125
6.0,162.5625,65.4375
255.0,160.0625,-11.6875
6.0,-87.9375,52.6875
