ISRICSOILGRIDS_new_average_soilorganiccarboncontent_reduced,x,y
-9999.0,-86.0625,46.8125
51.0,116.1875,53.5625
-9999.0,-131.9375,55.1875
101.0,166.1875,59.8125
247.0,85.0625,59.6875
124.0,129.8125,48.4375
-9999.0,13.5625,58.8125
34.0,0.3125,49.1875
101.0,-121.4375,47.1875
-9999.0,140.8125,40.9375
23.0,17.6875,45.9375
53.0,123.8125,52.5625
-9999.0,97.3125,48.8125
53.0,42.4375,38.4375
-9999.0,116.9375,-1.4375
22.0,114.3125,41.3125
148.0,-92.0625,52.6875
93.0,108.5625,15.4375
142.0,129.5625,53.5625
71.0,96.6875,72.6875
131.0,84.3125,68.9375
67.0,96.6875,24.4375
282.0,69.9375,64.8125
44.0,131.0625,45.4375
69.0,55.1875,53.4375
159.0,-145.8125,66.0625
95.0,63.4375,68.9375
45.0,-75.3125,4.1875
158.0,-72.4375,59.3125
56.0,-78.4375,41.4375
88.0,97.1875,25.5625
51.0,-94.3125,43.3125
249.0,86.5625,63.8125
171.0,-98.6875,67.1875
118.0,-103.6875,66.5625
89.0,19.8125,69.6875
31.0,15.3125,48.6875
118.0,32.8125,63.8125
85.0,-67.8125,47.3125
16.0,-78.4375,35.9375
152.0,-103.3125,55.8125
77.0,60.0625,57.8125
151.0,127.6875,70.5625
150.0,167.4375,68.9375
120.0,96.9375,56.3125
23.0,-114.9375,39.5625
142.0,-123.4375,66.4375
29.0,-107.0625,49.9375
124.0,56.1875,61.9375
-9999.0,-26.8125,68.5625
76.0,73.8125,57.0625
33.0,105.1875,23.8125
379.0,79.4375,65.4375
-9999.0,120.9375,-2.9375
69.0,60.3125,59.4375
128.0,-75.6875,51.4375
-9999.0,14.1875,36.9375
139.0,-62.6875,56.3125
116.0,65.5625,54.8125
61.0,124.5625,47.1875
55.0,103.1875,58.4375
57.0,112.1875,49.8125
-9999.0,12.9375,55.1875
26.0,21.3125,46.1875
58.0,46.6875,41.8125
101.0,139.6875,48.6875
46.0,68.9375,35.1875
119.0,54.8125,61.8125
56.0,113.9375,53.4375
99.0,-147.0625,68.9375
196.0,107.0625,53.8125
58.0,120.0625,61.6875
36.0,21.8125,37.3125
112.0,-159.3125,60.4375
