ISRICSOILGRIDS_new_average_sandpercent_reduced,x,y
25.0,106.4375,31.1875
38.0,136.5625,62.1875
58.0,14.3125,61.9375
55.0,-65.4375,46.4375
49.0,129.1875,65.6875
49.0,127.9375,57.1875
33.0,-159.3125,69.3125
65.0,-121.6875,46.3125
52.0,-116.9375,48.5625
84.0,14.6875,52.8125
29.0,81.4375,43.1875
54.0,-67.3125,55.8125
37.0,-82.0625,42.9375
48.0,-99.8125,66.5625
38.0,93.3125,70.6875
54.0,18.8125,63.1875
37.0,98.6875,19.3125
36.0,135.8125,59.9375
42.0,99.6875,15.5625
54.0,-106.5625,59.5625
36.0,104.9375,22.3125
55.0,134.4375,64.4375
36.0,-92.6875,31.4375
52.0,-81.6875,48.3125
68.0,121.1875,-30.5625
30.0,22.4375,40.5625
-9999.0,23.1875,39.0625
36.0,-147.1875,66.3125
48.0,-70.0625,-33.4375
60.0,-56.9375,50.9375
33.0,-2.3125,40.3125
51.0,-100.9375,62.0625
40.0,75.6875,70.3125
53.0,-115.3125,67.3125
48.0,-20.5625,75.5625
31.0,28.8125,48.6875
40.0,-118.8125,54.1875
46.0,95.4375,69.4375
-9999.0,-80.0625,59.5625
40.0,118.1875,24.5625
46.0,98.3125,64.4375
32.0,-118.5625,46.6875
45.0,-118.5625,60.0625
40.0,15.6875,47.1875
27.0,108.4375,28.5625
47.0,-66.9375,57.8125
38.0,128.5625,52.4375
51.0,23.5625,69.4375
47.0,21.1875,50.5625
32.0,76.9375,56.0625
38.0,84.1875,68.6875
-9999.0,-43.1875,63.3125
73.0,6.3125,52.8125
37.0,85.8125,65.5625
49.0,-113.5625,46.4375
63.0,25.1875,51.5625
36.0,-105.4375,42.4375
36.0,71.3125,70.4375
61.0,-94.4375,46.4375
38.0,120.4375,46.4375
34.0,106.4375,59.5625
42.0,161.6875,57.4375
71.0,117.4375,-31.4375
42.0,-7.8125,53.6875
29.0,-108.1875,45.9375
46.0,-116.6875,54.4375
-9999.0,-69.6875,-55.5625
68.0,117.9375,-31.0625
49.0,148.6875,63.5625
31.0,99.3125,55.5625
40.0,-142.1875,64.9375
42.0,-124.0625,42.4375
44.0,95.5625,52.3125
64.0,-59.8125,52.6875
-9999.0,-120.3125,71.5625
29.0,54.0625,54.9375
38.0,-76.1875,44.0625
61.0,145.3125,-32.4375
39.0,-7.1875,52.3125
61.0,-119.8125,38.6875
37.0,134.3125,-6.3125
45.0,84.0625,50.3125
70.0,116.0625,-29.0625
52.0,-38.0625,66.1875
43.0,-78.8125,-0.5625
45.0,121.6875,58.1875
51.0,-112.6875,67.0625
28.0,95.0625,60.6875
-9999.0,137.4375,53.5625
34.0,65.4375,58.9375
34.0,94.1875,25.1875
-9999.0,14.0625,44.9375
33.0,49.9375,57.1875
7.0,-89.3125,39.3125
52.0,-92.0625,46.9375
39.0,-78.9375,41.5625
75.0,9.4375,54.0625
51.0,103.6875,37.6875
26.0,11.5625,44.8125
38.0,80.1875,68.6875
48.0,-121.0625,51.1875
29.0,-131.3125,65.8125
51.0,-91.4375,46.0625
38.0,121.6875,16.0625
53.0,-114.5625,63.1875
40.0,83.8125,65.6875
43.0,136.9375,49.0625
38.0,-155.6875,60.5625
39.0,100.5625,49.1875
38.0,45.9375,42.0625
44.0,47.6875,59.3125
47.0,-112.5625,37.3125
36.0,173.3125,65.3125
43.0,11.3125,49.3125
46.0,90.0625,27.3125
45.0,56.8125,61.8125
-9999.0,-147.4375,59.9375
38.0,126.9375,39.5625
50.0,-109.6875,42.9375
38.0,127.8125,38.9375
19.0,-99.5625,17.0625
34.0,-105.3125,23.0625
26.0,-89.3125,43.3125
54.0,20.3125,66.6875
61.0,-119.0625,36.9375
30.0,103.0625,21.6875
47.0,98.1875,51.4375
27.0,38.0625,45.4375
36.0,152.5625,66.8125
30.0,27.5625,60.5625
45.0,144.0625,60.5625
18.0,-84.6875,40.3125
45.0,105.9375,16.9375
54.0,-98.3125,63.4375
39.0,84.5625,63.0625
42.0,-109.8125,40.4375
50.0,120.9375,57.8125
50.0,154.6875,62.4375
70.0,30.1875,50.6875
40.0,59.3125,65.8125
46.0,145.9375,64.0625
21.0,-89.1875,37.1875
41.0,105.8125,54.4375
39.0,122.0625,48.9375
50.0,-71.8125,-35.5625
40.0,31.9375,52.3125
37.0,99.1875,18.1875
37.0,128.8125,63.5625
36.0,71.9375,65.0625
40.0,45.9375,61.4375
54.0,-128.5625,53.4375
50.0,30.1875,56.9375
-9999.0,-120.1875,65.3125
67.0,135.5625,-30.8125
32.0,-119.6875,56.3125
54.0,-123.4375,65.5625
50.0,-78.5625,50.6875
-9999.0,-129.3125,53.3125
-9999.0,-77.6875,64.1875
46.0,-146.4375,61.4375
35.0,50.6875,56.3125
39.0,130.6875,43.6875
55.0,94.5625,34.4375
35.0,109.8125,-7.3125
47.0,142.4375,48.4375
36.0,64.1875,61.4375
41.0,-99.0625,36.0625
60.0,-81.3125,49.3125
36.0,19.9375,49.0625
43.0,24.1875,56.5625
35.0,122.1875,53.4375
48.0,-135.5625,61.4375
52.0,47.4375,-23.0625
53.0,163.3125,64.8125
61.0,-79.6875,33.4375
38.0,-7.3125,43.0625
42.0,85.4375,70.1875
39.0,-156.3125,58.9375
33.0,-90.3125,15.3125
-9999.0,-78.8125,43.5625
47.0,39.3125,62.5625
56.0,147.3125,-36.9375
39.0,54.4375,61.9375
65.0,134.5625,-13.8125
44.0,-88.0625,54.4375
46.0,103.0625,73.9375
41.0,101.3125,4.5625
64.0,148.0625,-40.0625
48.0,158.1875,55.6875
-9999.0,7.8125,53.8125
45.0,-105.5625,37.9375
36.0,130.4375,49.6875
24.0,116.1875,36.4375
35.0,93.5625,22.5625
39.0,130.3125,49.6875
31.0,36.0625,-0.9375
71.0,136.0625,-34.4375
-9999.0,155.6875,54.4375
41.0,96.3125,4.9375
-9999.0,-161.5625,64.6875
52.0,144.4375,60.8125
30.0,76.5625,43.5625
41.0,-112.8125,52.0625
51.0,-76.9375,54.6875
34.0,81.6875,51.6875
35.0,131.5625,32.8125
43.0,133.1875,58.3125
35.0,126.6875,46.6875
31.0,12.0625,43.4375
56.0,-84.1875,48.3125
-9999.0,-57.9375,54.9375
41.0,109.6875,50.9375
43.0,-144.1875,62.3125
40.0,-67.3125,47.1875
54.0,-105.1875,60.9375
35.0,38.9375,48.4375
30.0,108.6875,32.4375
52.0,15.1875,67.9375
50.0,-71.5625,-43.3125
43.0,96.1875,31.1875
76.0,130.9375,-26.8125
-9999.0,120.4375,18.0625
-9999.0,-118.5625,65.9375
35.0,22.6875,49.8125
-9999.0,-17.0625,64.6875
46.0,-177.9375,65.6875
46.0,-69.9375,60.5625
71.0,134.5625,-31.5625
39.0,-76.0625,41.3125
31.0,106.3125,30.4375
-9999.0,-53.4375,68.1875
44.0,-101.1875,20.1875
40.0,73.4375,62.9375
55.0,-3.1875,57.5625
-9999.0,31.3125,61.5625
24.0,-111.4375,31.3125
37.0,-149.9375,66.6875
40.0,106.9375,60.0625
53.0,37.4375,-15.3125
55.0,-171.6875,65.6875
-9999.0,11.9375,67.3125
39.0,119.6875,44.1875
32.0,100.4375,22.8125
52.0,-124.5625,51.8125
41.0,-171.1875,63.4375
39.0,86.1875,61.4375
30.0,106.9375,31.1875
