LandCover_1_Needleleaf,x,y
0.0,69.8125,71.3125
4.0,-142.0625,64.3125
0.0,73.1875,40.0625
51.0,113.3125,58.3125
0.0,25.1875,49.5625
0.0,83.5625,53.0625
50.0,-92.6875,34.4375
66.0,128.8125,63.1875
0.0,35.3125,-24.4375
0.0,74.6875,65.0625
20.0,128.0625,56.5625
0.0,140.3125,63.5625
9.0,139.8125,68.3125
55.0,29.3125,66.9375
32.0,40.4375,62.5625
0.0,116.8125,42.0625
28.0,82.3125,60.6875
0.0,139.3125,41.5625
69.0,-135.8125,57.3125
0.0,145.0625,59.1875
0.0,-99.6875,62.4375
0.0,11.5625,45.5625
0.0,54.5625,53.6875
0.0,-101.5625,22.1875
85.0,-110.6875,42.9375
100.0,116.5625,60.3125
0.0,88.0625,68.6875
0.0,36.5625,50.0625
26.0,144.3125,63.3125
0.0,110.9375,27.3125
0.0,-72.9375,-47.9375
0.0,43.4375,36.9375
0.0,133.4375,-3.8125
53.0,-107.8125,54.4375
18.0,58.8125,60.1875
38.0,58.4375,64.0625
17.0,7.4375,43.8125
0.0,-4.4375,58.3125
0.0,-118.9375,52.4375
0.0,-72.9375,7.1875
0.0,-64.0625,48.4375
100.0,90.5625,52.1875
0.0,123.6875,-33.0625
0.0,-109.0625,46.1875
8.0,135.3125,46.5625
0.0,103.0625,3.6875
0.0,-108.3125,42.3125
0.0,156.0625,55.6875
20.0,105.6875,54.4375
0.0,168.3125,68.8125
0.0,60.4375,69.5625
20.0,110.0625,58.9375
0.0,104.6875,24.6875
21.0,-63.8125,50.9375
0.0,102.0625,6.0625
0.0,106.0625,35.0625
0.0,-7.3125,31.3125
16.0,136.4375,52.8125
0.0,-85.1875,38.9375
23.0,79.5625,59.9375
0.0,106.5625,25.9375
18.0,35.6875,63.4375
20.0,95.0625,59.0625
0.0,87.8125,70.1875
0.0,-115.3125,40.3125
1.0,-78.6875,34.5625
0.0,126.4375,36.4375
0.0,98.6875,3.0625
0.0,-108.0625,40.0625
0.0,-73.8125,47.4375
0.0,-82.5625,35.3125
23.0,95.8125,66.8125
0.0,-57.3125,48.5625
0.0,-88.5625,14.5625
29.0,-4.0625,56.5625
100.0,-116.6875,53.1875
52.0,118.8125,63.0625
0.0,-76.4375,52.6875
0.0,86.0625,49.6875
0.0,107.8125,29.0625
0.0,-4.1875,47.6875
0.0,-125.8125,62.8125
0.0,-109.1875,34.3125
0.0,-112.3125,39.5625
74.0,135.4375,61.3125
0.0,106.1875,38.1875
19.0,84.9375,65.5625
0.0,17.4375,61.3125
2.0,166.1875,60.0625
16.0,-121.8125,64.4375
0.0,91.8125,74.3125
0.0,53.8125,58.6875
0.0,91.4375,69.4375
44.0,33.5625,62.1875
0.0,-106.4375,30.4375
0.0,37.5625,64.1875
0.0,14.3125,77.4375
0.0,-53.6875,48.3125
0.0,-86.1875,13.6875
12.0,-109.1875,27.8125
0.0,146.4375,-18.4375
0.0,13.8125,64.5625
83.0,12.3125,60.6875
0.0,123.3125,47.8125
0.0,12.3125,49.1875
0.0,-164.0625,66.5625
0.0,152.6875,-26.8125
26.0,-81.9375,29.0625
0.0,-73.4375,65.8125
0.0,-149.1875,61.8125
0.0,-151.8125,67.8125
51.0,97.3125,63.4375
0.0,-90.3125,39.0625
0.0,121.5625,-31.1875
53.0,-120.9375,53.6875
53.0,37.5625,67.0625
0.0,150.4375,-23.4375
0.0,-136.4375,64.9375
0.0,95.9375,34.6875
64.0,-122.9375,46.8125
0.0,-106.5625,66.5625
100.0,-117.6875,59.6875
0.0,115.0625,35.6875
0.0,118.8125,-33.9375
0.0,146.3125,-6.0625
0.0,102.6875,5.4375
50.0,28.0625,66.1875
19.0,99.4375,57.8125
0.0,125.8125,49.4375
58.0,-117.3125,61.6875
0.0,23.9375,77.5625
0.0,-112.9375,39.8125
4.0,5.6875,45.3125
89.0,-123.0625,53.0625
0.0,56.9375,59.3125
0.0,100.3125,17.9375
0.0,10.4375,36.6875
52.0,141.8125,59.6875
55.0,108.4375,63.8125
0.0,49.6875,-17.8125
0.0,92.5625,46.4375
0.0,-88.5625,16.6875
0.0,115.9375,-31.9375
0.0,-90.9375,47.6875
0.0,15.3125,57.9375
0.0,138.3125,67.9375
0.0,-83.8125,45.8125
24.0,-123.4375,48.5625
51.0,97.9375,52.9375
0.0,-114.4375,43.0625
8.0,-64.5625,44.8125
10.0,41.6875,64.9375
0.0,46.0625,61.8125
47.0,6.4375,62.5625
0.0,102.8125,-3.6875
12.0,169.3125,61.5625
7.0,-73.4375,48.9375
100.0,80.8125,52.0625
19.0,55.6875,65.5625
0.0,-3.1875,55.0625
0.0,-76.5625,51.6875
0.0,83.4375,70.9375
0.0,-64.3125,56.4375
0.0,132.9375,-31.1875
14.0,49.5625,64.6875
0.0,168.5625,61.4375
0.0,165.8125,62.5625
0.0,134.4375,-2.1875
0.0,-80.9375,36.9375
0.0,92.9375,21.3125
0.0,82.4375,44.3125
0.0,114.6875,2.3125
20.0,110.8125,58.6875
35.0,8.1875,48.1875
0.0,-105.8125,65.8125
0.0,107.1875,14.1875
0.0,142.1875,-30.5625
0.0,-99.6875,17.6875
0.0,112.3125,32.3125
0.0,100.3125,28.8125
31.0,-142.8125,60.1875
0.0,-69.1875,58.6875
0.0,148.9375,61.8125
0.0,-121.6875,68.4375
7.0,-93.9375,64.4375
0.0,-78.5625,-1.1875
0.0,43.3125,55.1875
0.0,87.3125,51.8125
21.0,113.6875,50.9375
14.0,141.6875,43.9375
3.0,159.5625,58.5625
0.0,13.9375,55.8125
0.0,144.9375,-17.8125
0.0,34.0625,54.3125
28.0,-128.0625,56.9375
0.0,93.8125,23.9375
0.0,102.3125,5.5625
24.0,145.9375,62.9375
0.0,-137.3125,58.6875
0.0,144.0625,-38.3125
