"variable","percent.contribution","permutation.importance"
"bio12",59.7639,37.9605
"bio14",6.0847,3.4023
"bio2",3.9311,2.1191
"bio8",2.1454,1.2533
"bio9",7.9225,16.9697
"elevation",10.8585,19.8699
"nitrogen",4.3998,16.3963
"ruggedness",4.3906,0.4631
"sand",0.5036,1.5659
