"variable","percent.contribution","permutation.importance"
"bio12",46.6656,26.1344
"bio15",9.6022,15.2401
"bio2",8.0126,2.3134
"bio6",25.1537,34.6857
"bio8",1.9297,2.3157
"bio9",8.6361,19.3107
