"variable","percent.contribution","permutation.importance"
"bio15",22.1632,41.3243
"bio17",23.3184,7.9938
"bio4",4.7398,8.904
"elevation",34.9746,28.4941
"nitrogen",4.4775,4.7337
"ruggedness",6.0342,3.2986
"sand",2.8595,3.3617
"soc",1.433,1.8898
