"variable","percent.contribution","permutation.importance"
"bio13",16.3803,31.7003
"bio14",0.1504,0.5921
"bio15",14.525,11.2745
"bio2",3.6416,5.1352
"bio4",19.9961,26.0705
"bio9",0.1772,0.255
"elevation",5.4685,7.3416
"ruggedness",35.131,15.5989
"sand",4.5028,1.7817
"soc",0.027,0.2502
