"variable","percent.contribution","permutation.importance"
"bio12",68.9542,58.0798
"bio15",0.8563,7.6799
"bio2",2.3203,6.2794
"bio4",1.1565,7.0142
"bio8",1.6592,2.4049
"bio9",0.611,2.0664
"elevation",0.1582,0.4663
"ruggedness",4.5967,1.4624
"sand",1.0808,0.3649
"soc",18.6068,14.1818
