ISRICSOILGRIDS_new_average_claypercent_reduced,x,y
20.0,-92.29167405,37.29166965
18.0,-121.04167635,69.37500555
9.0,-127.70834355,56.04167115
-9999.0,108.54167535,3.54166694999999
-9999.0,-89.79167385,29.37500235
27.0,106.87500855,30.20833575
-9999.0,115.62500925,-33.12500265
13.0,156.87501255,63.95833845
24.0,8.95833404999999,48.95833725
18.0,-88.95834045,35.20833615
19.0,88.95834045,54.79167105
28.0,27.70833555,40.20833655
35.0,96.87500775,18.95833485
29.0,116.04167595,26.04166875
22.0,0.625000049999983,47.70833715
23.0,103.12500825,52.70833755
32.0,37.70833635,50.20833735
16.0,177.29168085,64.37500515
11.0,-61.87500495,55.62500445
12.0,27.29166885,58.12500465
24.0,-84.37500675,55.20833775
6.0,-81.87500655,28.12500225
31.0,106.87500855,24.37500195
25.0,120.20834295,50.20833735
-9999.0,65.20833855,69.37500555
25.0,104.79167505,31.45833585
20.0,-69.79167225,-53.12500425
16.0,39.79166985,59.79167145
29.0,-0.625000050000011,51.87500415
20.0,125.20834335,59.79167145
-9999.0,18.95833485,57.29167125
11.0,-93.95834085,46.45833705
41.0,-102.29167485,20.62500165
18.0,10.20833415,59.79167145
19.0,121.45834305,-30.20833575
15.0,-126.45834345,58.95833805
24.0,49.37500395,56.87500455
21.0,-96.87500775,48.95833725
-9999.0,8.95833404999999,64.37500515
6.0,20.20833495,64.79167185
37.0,-101.87500815,27.29166885
23.0,49.79167065,55.20833775
16.0,89.79167385,50.62500405
12.0,44.37500355,63.54167175
12.0,27.29166885,51.45833745
10.0,35.62500285,68.54167215
16.0,18.12500145,49.37500395
-9999.0,-93.95834085,59.37500475
42.0,-96.45834105,16.04166795
8.0,29.37500235,55.20833775
19.0,73.12500585,39.79166985
14.0,94.37500755,52.70833755
14.0,9.79166744999998,57.29167125
17.0,-173.54168055,65.20833855
16.0,41.45833665,65.20833855
-9999.0,-124.37500995,43.95833685
5.0,-58.54167135,53.12500425
18.0,-73.12500585,60.62500485
-9999.0,136.04167755,-13.95833445
21.0,6.04166714999999,50.20833735
17.0,104.37500835,49.79167065
-9999.0,3.95833364999999,40.62500325
24.0,118.54167615,54.37500435
16.0,30.20833575,54.37500435
24.0,118.54167615,-31.04166915
21.0,133.54167735,61.87500495
29.0,40.20833655,51.87500415
13.0,38.54166975,68.12500545
30.0,151.45834545,-26.45833545
17.0,-125.62501005,63.95833845
17.0,-2.29166685000001,54.37500435
-9999.0,107.70834195,10.20833415
29.0,103.12500825,11.04166755
21.0,35.20833615,63.95833845
18.0,104.37500835,38.12500305
18.0,71.04167235,59.37500475
15.0,51.45833745,66.45833865
14.0,-152.29167885,66.45833865
50.0,-95.20834095,16.45833465
34.0,103.54167495,0.208333350000004
-9999.0,114.79167585,5.20833374999999
13.0,54.37500435,61.45833825
22.0,86.45834025,66.04167195
19.0,-122.70834315,43.54167015
16.0,159.37501275,57.70833795
19.0,102.29167485,63.12500505
30.0,19.79166825,40.20833655
17.0,-124.79167665,67.70833875
47.0,-98.54167455,19.37500155
17.0,45.62500365,58.95833805
28.0,108.54167535,26.87500215
16.0,98.54167455,27.70833555
-9999.0,-123.12500985,48.95833725
35.0,114.37500915,0.208333350000004
26.0,106.45834185,28.54166895
27.0,-93.12500745,39.37500315
-9999.0,-87.70834035,30.20833575
14.0,-128.12501025,61.45833825
12.0,-144.37501155,60.62500485
43.0,-106.45834185,25.20833535
16.0,52.29167085,67.70833875
24.0,-88.95834045,40.20833655
-9999.0,-64.79167185,-54.79167105
37.0,-91.45834065,33.12500265
13.0,-158.95834605,63.12500505
19.0,14.79166785,48.95833725
18.0,-76.04167275,52.29167085
28.0,93.12500745,25.20833535
19.0,2.29166684999998,50.62500405
-9999.0,114.79167585,-6.87500055
16.0,137.29167765,56.45833785
14.0,45.20833695,65.62500525
27.0,103.54167495,27.70833555
20.0,-94.79167425,36.04166955
15.0,-79.79167305,43.95833685
12.0,47.70833715,65.20833855
25.0,112.29167565,30.62500245
12.0,14.37500115,60.20833815
-9999.0,3.54166694999998,40.20833655
34.0,153.12501225,-28.12500225
29.0,26.04166875,38.54166975
15.0,-78.54167295,47.29167045
13.0,-116.04167595,49.79167065
26.0,-112.29167565,41.45833665
9.0,-120.20834295,48.95833725
32.0,12.70833435,43.54167015
11.0,18.54166815,54.37500435
15.0,-76.45833945,56.04167115
17.0,-133.12501065,65.20833855
23.0,131.45834385,51.45833745
-9999.0,-9.37500075,54.37500435
12.0,35.20833615,58.12500465
18.0,138.12501105,48.54167055
9.0,11.04166755,59.79167145
-9999.0,-98.12500785,62.70833835
20.0,97.29167445,48.54167055
27.0,-83.12500665,53.95833765
-9999.0,133.12501065,36.04166955
-9999.0,56.87500455,71.04167235
25.0,20.20833495,45.20833695
16.0,64.79167185,61.87500495
28.0,114.37500915,4.37500034999999
29.0,-87.29167365,52.70833755
-9999.0,105.20834175,8.54166735
12.0,151.04167875,61.04167155
-9999.0,168.95834685,60.20833815
29.0,-86.45834025,53.12500425
22.0,-111.45834225,46.87500375
-9999.0,139.37501115,38.12500305
35.0,76.04167275,11.04166755
-9999.0,23.95833525,35.62500285
-9999.0,-79.79167305,62.70833835
22.0,126.87501015,51.04167075
24.0,119.37500955,54.79167105
9.0,-127.70834355,54.79167105
21.0,-89.37500715,38.12500305
-9999.0,36.87500295,65.62500525
13.0,15.20833455,68.54167215
33.0,101.04167475,21.45833505
-9999.0,136.87501095,-12.70833435
17.0,-78.95833965,41.87500335
14.0,96.87500775,28.54166895
32.0,101.87500815,22.70833515
7.0,15.20833455,59.79167145
-9999.0,15.62500125,69.37500555
28.0,-108.12500865,33.95833605
10.0,-145.62501165,64.79167185
-9999.0,133.95834405,-5.62500045
19.0,128.12501025,40.62500325
20.0,173.54168055,69.37500555
11.0,42.70833675,66.04167195
19.0,-93.54167415,33.95833605
16.0,31.45833585,52.29167085
38.0,-84.79167345,14.37500115
24.0,86.04167355,57.29167125
52.0,-104.37500835,23.95833525
-9999.0,163.95834645,61.87500495
30.0,3.12500025,39.37500315
16.0,94.79167425,67.70833875
17.0,102.29167485,63.95833845
49.0,-105.62500845,23.95833525
29.0,92.70834075,25.62500205
25.0,110.62500885,21.87500175
13.0,-91.04167395,50.20833735
10.0,22.70833515,58.95833805
14.0,132.29167725,55.20833775
17.0,113.54167575,59.37500475
-9999.0,24.37500195,71.04167235
26.0,56.87500455,56.04167115
12.0,26.87500215,51.04167075
19.0,116.87500935,52.70833755
7.0,-115.62500925,47.29167045
-9999.0,135.62501085,43.95833685
16.0,-171.87501375,66.04167195
29.0,-1.45833345,51.87500415
19.0,-55.20833775,72.29167245
-9999.0,134.37501075,35.62500285
31.0,146.87501175,-7.29166725
16.0,50.20833735,67.70833875
26.0,118.12500945,32.70833595
18.0,-114.37500915,63.54167175
29.0,145.62501165,-36.04166955
23.0,114.79167585,28.95833565
19.0,-6.87500055000001,39.79166985
53.0,-109.37500875,30.20833575
13.0,23.95833525,58.54167135
-9999.0,55.62500445,74.79167265
19.0,-97.29167445,58.95833805
19.0,-72.29167245,-51.45833745
14.0,53.54167095,71.87500575
25.0,-99.79167465,48.54167055
35.0,138.54167775,-7.70833395
19.0,91.87500735,65.62500525
16.0,-23.54166855,73.54167255
23.0,58.95833805,55.20833775
16.0,164.79167985,68.95833885
19.0,-95.20834095,60.20833815
25.0,64.37500515,60.20833815
-9999.0,-134.37501075,58.95833805
14.0,56.87500455,65.20833855
20.0,117.29167605,40.20833655
-9999.0,137.29167765,37.29166965
-9999.0,133.12501065,-32.70833595
9.0,20.62500165,67.29167205
21.0,85.20834015,68.54167215
13.0,148.12501185,61.87500495
19.0,78.12500625,59.79167145
17.0,-110.20834215,44.79167025
19.0,21.45833505,52.70833755
15.0,56.87500455,67.29167205
15.0,23.95833525,66.04167195
-9999.0,128.12501025,39.37500315
16.0,103.54167495,33.12500265
18.0,74.79167265,63.12500505
14.0,139.37501115,59.79167145
21.0,-71.04167235,-39.37500315
40.0,-101.45834145,19.37500155
21.0,114.79167585,41.04166995
17.0,-91.45834065,36.04166955
19.0,-142.29167805,61.87500495
44.0,-103.12500825,21.87500175
14.0,-98.54167455,62.29167165
22.0,118.95834285,44.79167025
21.0,-129.37501035,68.54167215
21.0,-6.87500055000001,39.37500315
36.0,121.87500975,1.04166675
13.0,90.20834055,31.87500255
29.0,-98.95834125,30.20833575
8.0,29.79166905,68.12500545
35.0,100.62500805,1.04166675
-9999.0,-121.45834305,69.79167225
14.0,32.70833595,58.54167135
11.0,161.87501295,58.54167135
27.0,103.95834165,16.87500135
13.0,-68.54167215,46.45833705
20.0,129.37501035,48.12500385
10.0,154.79167905,49.37500395
29.0,6.45833385,43.54167015
12.0,37.70833635,67.70833875
21.0,-88.95834045,43.12500345
6.0,16.04166795,61.45833825
59.0,-109.79167545,29.79166905
19.0,149.37501195,-34.37500275
18.0,113.54167575,60.62500485
38.0,-98.95834125,27.70833555
-9999.0,-10.62500085,52.29167085
7.0,-129.79167705,56.45833785
14.0,-30.62500245,68.12500545
22.0,7.70833395,50.20833735
18.0,172.70834715,68.12500545
21.0,-106.04167515,37.70833635
-9999.0,152.29167885,-10.62500085
51.0,-105.20834175,25.20833535
16.0,115.20834255,55.62500445
19.0,139.37501115,49.79167065
29.0,153.12501225,-27.70833555
21.0,-94.79167425,33.12500265
11.0,18.54166815,67.29167205
11.0,140.62501125,61.04167155
-9999.0,16.04166795,68.95833885
-9999.0,24.37500195,65.20833855
8.0,9.37500075,59.79167145
37.0,114.79167585,1.04166675
18.0,-107.29167525,38.12500305
11.0,159.37501275,53.95833765
-9999.0,-101.45834145,62.29167165
10.0,-110.62500885,44.37500355
-9999.0,123.54167655,-6.04166715000001
21.0,-153.95834565,68.95833885
13.0,24.79166865,53.12500425
-9999.0,163.95834645,-20.62500165
26.0,-98.95834125,46.87500375
28.0,-112.70834235,58.95833805
18.0,73.12500585,39.37500315
11.0,-18.12500145,65.62500525
21.0,-73.54167255,58.12500465
25.0,106.04167515,53.12500425
-9999.0,153.54167895,48.54167055
15.0,-159.37501275,70.20833895
24.0,130.20834375,50.62500405
20.0,-101.87500815,69.79167225
31.0,133.12501065,33.12500265
-9999.0,-68.54167215,59.37500475
38.0,106.04167515,9.37500075
16.0,134.79167745,43.54167015
15.0,128.12501025,43.12500345
12.0,-159.79167945,64.37500515
18.0,-124.37500995,62.70833835
27.0,38.95833645,52.29167085
13.0,-133.54167735,61.04167155
10.0,20.20833495,54.37500435
30.0,145.20834495,-32.70833595
22.0,88.95834045,66.04167195
-9999.0,110.20834215,18.12500145
-9999.0,-71.04167235,66.45833865
29.0,96.04167435,20.62500165
-9999.0,-70.20833895,62.29167165
