"variable","percent.contribution","permutation.importance"
"bio12",1.1923,0.3418
"bio14",16.9187,35.6825
"bio2",15.0398,10.9199
"bio4",18.2915,0
"nitrogen",9.3697,9.1899
"ruggedness",9.1647,17.0222
"sand",25.1973,10.9859
"soc",4.826,15.8578
