ISRICSOILGRIDS_new_average_coarsefragmentpercent_reduced,x,y
0.0,157.29167925,68.54167215
9.0,31.87500255,64.37500515
-9999.0,129.79167705,36.04166955
-9999.0,-78.12500625,68.95833885
2.0,-96.45834105,33.54166935
11.0,165.62501325,64.37500515
1.0,-86.04167355,32.29166925
-9999.0,138.95834445,-8.12500065
3.0,31.87500255,52.29167085
11.0,84.79167345,51.04167075
5.0,111.45834225,55.62500445
5.0,33.95833605,51.45833745
-9999.0,-0.208333350000004,60.62500485
10.0,-6.45833385,37.29166965
9.0,-118.54167615,38.54166975
-9999.0,-65.20833855,62.29167165
10.0,21.87500175,39.37500315
13.0,3.12500025,44.79167025
13.0,121.04167635,24.37500195
7.0,28.95833565,-25.62500205
19.0,116.45834265,-34.37500275
9.0,34.37500275,68.54167215
9.0,27.70833555,64.79167185
1.0,49.37500395,60.62500485
16.0,10.20833415,62.70833835
28.0,100.62500805,28.54166895
19.0,138.54167775,66.04167195
4.0,87.70834035,52.70833755
2.0,-110.20834215,48.12500385
4.0,-103.95834165,59.79167145
5.0,-114.79167585,53.54167095
3.0,28.54166895,51.45833745
-9999.0,53.54167095,70.62500565
17.0,133.12501065,33.54166935
2.0,-98.12500785,60.20833815
3.0,-113.95834245,51.45833745
2.0,-83.12500665,41.04166995
4.0,34.79166945,54.79167105
19.0,-131.04167715,64.79167185
14.0,110.20834215,25.62500205
9.0,-158.12501265,61.45833825
-9999.0,155.20834575,55.62500445
4.0,-88.12500705,56.04167115
7.0,-90.20834055,52.29167085
1.0,79.79167305,68.54167215
3.0,31.04166915,39.37500315
21.0,15.62500125,68.54167215
11.0,-72.70833915,48.12500385
4.0,133.54167735,47.70833715
2.0,44.37500355,51.45833745
13.0,87.29167365,51.04167075
-9999.0,21.04166835,61.45833825
15.0,26.87500215,64.37500515
14.0,28.95833565,40.62500325
12.0,23.95833525,61.04167155
-9999.0,-61.45833825,66.04167195
-9999.0,-164.37501315,68.95833885
27.0,71.45833905,39.37500315
22.0,-101.45834145,18.54166815
6.0,-88.54167375,66.04167195
-9999.0,118.95834285,11.04166755
8.0,-124.79167665,63.54167175
-9999.0,36.87500295,41.87500335
14.0,-150.20834535,63.95833845
8.0,32.29166925,64.37500515
15.0,110.20834215,37.29166965
6.0,-87.29167365,50.20833735
1.0,49.79167065,56.04167115
11.0,-106.87500855,30.62500245
-9999.0,4.37500034999999,52.70833755
27.0,93.95834085,24.37500195
2.0,161.45834625,57.29167125
12.0,32.29166925,68.95833885
4.0,-121.45834305,66.87500535
29.0,-150.62501205,62.70833835
6.0,-148.95834525,66.45833865
14.0,8.12500064999998,51.45833745
14.0,100.62500805,35.20833615
3.0,95.20834095,71.04167235
4.0,115.62500925,36.87500295
1.0,44.79167025,55.20833775
-9999.0,-62.70833835,46.45833705
10.0,85.20834015,50.62500405
16.0,-81.04167315,37.29166965
-9999.0,-90.20834055,47.70833715
20.0,-101.04167475,19.37500155
18.0,105.62500845,31.45833585
13.0,-127.29167685,50.62500405
15.0,106.45834185,32.70833595
3.0,116.45834265,53.54167095
7.0,124.37500995,46.87500375
16.0,-2.29166685000001,41.45833665
-9999.0,-81.45833985,64.37500515
19.0,84.37500675,43.12500345
2.0,81.04167315,71.04167235
4.0,119.37500955,49.79167065
9.0,21.45833505,68.12500545
5.0,26.45833545,53.54167095
0.0,118.95834285,58.54167135
11.0,-116.45834265,48.95833725
3.0,115.20834255,32.70833595
4.0,119.79167625,53.54167095
11.0,-171.87501375,66.04167195
20.0,-72.70833915,-52.29167085
1.0,-95.62500765,62.29167165
7.0,-6.04166715000002,37.29166965
20.0,93.54167415,26.04166875
27.0,-35.62500285,66.45833865
7.0,-71.87500575,50.62500405
0.0,-88.95834045,36.45833625
2.0,83.12500665,54.37500435
1.0,-81.87500655,31.87500255
8.0,26.04166875,63.95833845
3.0,76.04167275,68.12500545
-9999.0,108.95834205,19.79166825
-9999.0,-1.04166675000002,57.70833795
-9999.0,41.87500335,66.45833865
13.0,101.87500815,51.45833745
-9999.0,145.62501165,43.54167015
33.0,-115.20834255,36.45833625
7.0,-73.12500585,44.79167025
-9999.0,-98.54167455,16.04166795
25.0,101.45834145,28.12500225
5.0,7.70833395,52.70833755
13.0,158.12501265,63.95833845
13.0,119.79167625,-31.45833585
3.0,82.29167325,70.62500565
4.0,40.20833655,63.54167175
-9999.0,-52.70833755,48.54167055
6.0,-73.95833925,64.79167185
7.0,122.70834315,49.79167065
0.0,51.04167075,67.70833875
8.0,-132.70834395,63.12500505
2.0,102.70834155,57.29167125
-9999.0,-140.62501125,59.37500475
3.0,45.20833695,66.87500535
6.0,-107.70834195,43.95833685
13.0,113.95834245,40.20833655
5.0,-85.62500685,55.20833775
7.0,146.87501175,-32.29166925
8.0,46.04167035,35.62500285
5.0,25.20833535,68.12500545
13.0,-103.95834165,28.54166895
3.0,-88.54167375,31.87500255
7.0,10.62500085,53.12500425
11.0,149.79167865,-30.62500245
1.0,38.95833645,53.54167095
9.0,-60.62500485,54.37500435
20.0,31.04166915,68.54167215
1.0,141.04167795,-7.70833395
10.0,153.95834565,61.87500495
37.0,98.95834125,28.54166895
7.0,93.95834085,52.70833755
19.0,-103.54167495,21.87500175
10.0,16.87500135,60.62500485
0.0,-154.37501235,70.62500565
12.0,-113.12500905,66.87500535
7.0,-58.54167135,54.37500435
-9999.0,138.12501105,38.54166975
0.0,86.04167355,54.37500435
-9999.0,99.37500795,6.45833385
3.0,49.37500395,63.54167175
6.0,95.62500765,74.37500595
0.0,-91.04167395,29.79166905
2.0,115.62500925,53.54167095
-9999.0,15.62500125,39.37500315
-9999.0,17.70833475,57.29167125
-9999.0,167.70834675,-16.04166795
2.0,95.62500765,74.79167265
17.0,-103.12500825,56.45833785
8.0,138.12501105,-30.62500245
25.0,-71.45833905,-36.87500295
1.0,57.29167125,56.45833785
5.0,-101.87500815,63.95833845
0.0,73.95833925,60.20833815
5.0,19.79166825,53.12500425
26.0,-105.20834175,37.70833635
14.0,10.62500085,60.62500485
3.0,53.12500425,68.12500545
-9999.0,-166.45834665,59.79167145
14.0,126.45834345,41.04166995
13.0,-109.37500875,33.95833605
8.0,-84.37500675,37.29166965
1.0,-159.37501275,70.62500565
7.0,97.29167445,51.04167075
-9999.0,-69.79167225,43.12500345
20.0,-82.29167325,35.20833615
2.0,40.62500325,56.87500455
4.0,-55.20833775,72.29167245
15.0,26.45833545,70.20833895
4.0,-99.79167465,64.79167185
2.0,78.54167295,72.29167245
3.0,31.87500255,47.70833715
8.0,-75.62500605,56.04167115
13.0,15.20833455,62.70833835
6.0,-118.12500945,41.04166995
19.0,97.70834115,21.45833505
18.0,101.45834145,17.70833475
8.0,152.29167885,60.20833815
15.0,16.87500135,63.54167175
16.0,-134.37501075,63.95833845
10.0,-123.54167655,58.12500465
5.0,111.45834225,51.87500415
9.0,-104.37500835,31.45833585
6.0,-108.95834205,64.79167185
22.0,-105.62500845,23.54166855
12.0,-122.29167645,47.29167045
4.0,115.62500925,-1.04166675
2.0,176.04168075,65.20833855
17.0,116.04167595,41.04166995
4.0,104.79167505,62.70833835
4.0,-68.54167215,57.29167125
1.0,40.62500325,51.87500415
8.0,122.29167645,48.54167055
3.0,86.87500695,59.79167145
10.0,-136.04167755,62.70833835
3.0,90.62500725,62.29167165
4.0,-141.87501135,68.12500545
7.0,34.79166945,-11.04166755
2.0,-81.87500655,43.12500345
4.0,44.37500355,61.45833825
7.0,47.29167045,-22.29166845
-9999.0,16.04166795,67.29167205
8.0,174.37501395,66.04167195
7.0,-123.95834325,44.79167025
3.0,32.29166925,52.29167085
-9999.0,119.79167625,-6.45833385
5.0,83.54167335,73.54167255
12.0,-125.20834335,52.29167085
-9999.0,-116.45834265,48.12500385
22.0,101.04167475,32.70833595
1.0,76.04167275,59.79167145
14.0,24.79166865,48.12500385
20.0,-147.70834515,63.95833845
3.0,54.79167105,53.12500425
3.0,45.20833695,58.12500465
13.0,103.12500825,48.12500385
2.0,-111.87500895,50.62500405
16.0,-135.20834415,63.95833845
5.0,126.45834345,54.79167105
8.0,-71.87500575,52.70833755
10.0,-50.62500405,68.12500545
-9999.0,-18.54166815,66.45833865
1.0,70.20833895,68.95833885
11.0,-105.62500845,42.70833675
9.0,-116.04167595,53.95833765
12.0,104.79167505,33.95833605
1.0,157.70834595,68.54167215
19.0,-116.87500935,48.95833725
-9999.0,-79.79167305,54.79167105
11.0,143.12501145,-5.20833375000001
-9999.0,-128.54167695,51.87500415
0.0,60.62500485,60.20833815
2.0,43.95833685,53.95833765
6.0,-55.20833775,72.70833915
22.0,21.87500175,70.20833895
3.0,86.45834025,72.29167245
-9999.0,24.79166865,40.20833655
8.0,137.29167765,34.79166945
3.0,71.45833905,67.29167205
21.0,14.37500115,66.45833865
7.0,60.62500485,55.62500445
11.0,91.04167395,44.37500355
1.0,104.37500835,-2.29166685
7.0,-154.79167905,65.20833855
22.0,7.29166724999999,61.87500495
13.0,33.12500265,41.87500335
7.0,-106.04167515,44.79167025
15.0,115.20834255,41.04166995
-9999.0,144.37501155,49.79167065
27.0,73.12500585,37.29166965
16.0,172.29168045,61.45833825
19.0,105.20834175,22.70833515
-9999.0,6.45833385,37.29166965
-9999.0,-91.87500735,62.29167165
6.0,-120.20834295,54.79167105
9.0,121.45834305,-3.12500025
16.0,-106.45834185,40.20833655
-9999.0,51.87500415,71.04167235
5.0,-121.04167635,67.70833875
26.0,-71.87500575,-46.04167035
7.0,94.37500755,52.29167085
21.0,98.54167455,18.54166815
17.0,123.12500985,45.62500365
16.0,-138.12501105,64.37500515
17.0,118.12500945,-32.70833595
5.0,33.12500265,58.95833805
18.0,16.45833465,63.54167175
3.0,131.87501055,62.29167165
15.0,-55.62500445,49.37500395
2.0,124.37500995,64.37500515
11.0,-51.04167075,66.45833865
12.0,28.54166895,61.45833825
19.0,101.87500815,48.12500385
27.0,92.70834075,28.54166895
17.0,104.37500835,26.87500215
4.0,-110.62500885,63.54167175
-9999.0,113.12500905,3.95833365
2.0,18.54166815,45.62500365
12.0,-109.37500875,46.87500375
7.0,20.62500165,42.70833675
-9999.0,106.87500855,17.70833475
14.0,-109.37500875,47.70833715
6.0,157.70834595,64.79167185
17.0,-108.12500865,45.20833695
-9999.0,123.95834325,-8.12500065
-9999.0,145.62501165,-38.95833645
2.0,90.20834055,72.70833915
12.0,27.70833555,68.54167215
6.0,-72.29167245,53.12500425
11.0,-141.04167795,64.79167185
-9999.0,93.54167415,6.45833385
13.0,105.20834175,33.54166935
4.0,114.37500915,32.70833595
3.0,-128.95834365,65.62500525
24.0,17.70833475,67.70833875
17.0,-118.54167615,53.95833765
5.0,46.87500375,-20.62500165
9.0,167.29168005,66.04167195
3.0,-162.70834635,61.04167155
5.0,-148.54167855,66.04167195
-9999.0,6.45833385,63.12500505
19.0,-114.79167585,44.79167025
24.0,103.12500825,23.95833525
8.0,119.79167625,-1.04166675
7.0,-89.37500715,51.45833745
10.0,117.70834275,43.95833685
8.0,-151.04167875,68.95833885
5.0,30.20833575,52.70833755
4.0,30.62500245,53.95833765
15.0,108.95834205,11.45833425
