GTOPO30_SLOPE_reduced,x,y
0.0,94.79167425,56.87500455
-9999.0,13.95833445,36.87500295
2.0,111.45834225,25.62500205
-9999.0,-7.70833395000002,43.95833685
0.0,-98.12500785,57.29167125
0.0,-1.04166675000002,44.37500355
-9999.0,-67.70833875,63.12500505
-9999.0,9.37500075,41.45833665
0.0,-16.87500135,65.20833855
0.0,31.87500255,51.45833745
0.0,86.04167355,48.12500385
2.0,28.95833565,-31.45833585
2.0,-51.04167075,65.20833855
1.0,111.45834225,32.29166925
0.0,131.87501055,48.54167055
0.0,-112.29167565,56.04167115
0.0,2.70833354999999,41.87500335
0.0,97.70834115,20.20833495
11.0,41.04166995,40.62500325
4.0,158.54167935,54.37500435
0.0,79.37500635,63.54167175
-9999.0,35.20833615,41.87500335
-9999.0,154.79167905,49.79167065
-9999.0,26.87500215,70.62500565
3.0,115.62500925,61.04167155
0.0,-104.37500835,59.79167145
2.0,-158.95834605,67.29167205
-9999.0,107.70834195,10.62500085
1.0,113.12500905,26.45833545
4.0,-129.79167705,58.95833805
-9999.0,131.45834385,-11.87500095
3.0,154.79167905,64.79167185
0.0,-1.04166675000002,46.04167035
0.0,84.37500675,61.45833825
1.0,134.79167745,67.29167205
0.0,31.04166915,54.37500435
0.0,-83.12500665,33.12500265
0.0,18.54166815,59.79167145
0.0,-160.62501285,70.20833895
0.0,149.79167865,66.87500535
5.0,91.45834065,69.37500555
0.0,39.37500315,56.04167115
-9999.0,122.70834315,1.04166675
1.0,16.04166795,49.79167065
1.0,-115.62500925,41.04166995
3.0,13.54166775,43.54167015
1.0,108.95834205,21.87500175
0.0,52.70833755,37.70833635
5.0,97.70834115,26.87500215
0.0,31.45833585,59.79167145
2.0,25.20833535,48.95833725
4.0,138.95834445,36.45833625
-9999.0,133.54167735,34.37500275
-9999.0,121.04167635,39.37500315
0.0,-77.70833955,54.37500435
6.0,-137.70834435,64.37500515
-9999.0,-61.87500495,49.37500395
0.0,93.95834085,58.12500465
4.0,135.20834415,44.79167025
0.0,-75.20833935,64.79167185
3.0,111.04167555,27.29166885
0.0,146.45834505,-32.70833595
0.0,-19.37500155,64.79167185
5.0,30.62500245,-26.04166875
5.0,-148.54167855,67.29167205
2.0,97.70834115,61.04167155
3.0,-131.04167715,60.20833815
0.0,150.62501205,-29.37500235
4.0,93.12500745,25.62500205
0.0,113.95834245,30.62500245
-9999.0,22.29166845,59.79167145
-9999.0,147.29167845,-18.95833485
7.0,23.12500185,69.79167225
0.0,14.37500115,56.87500455
0.0,-86.45834025,35.62500285
0.0,-72.70833915,64.37500515
-9999.0,106.45834185,18.12500145
0.0,-78.12500625,35.62500285
0.0,29.79166905,52.70833755
2.0,29.79166905,47.29167045
0.0,-67.70833875,54.79167105
1.0,110.20834215,35.20833615
0.0,-110.62500885,31.45833585
0.0,50.20833735,39.37500315
-9999.0,-2.70833355000002,56.45833785
0.0,87.29167365,69.79167225
5.0,14.79166785,63.95833845
0.0,-111.45834225,57.29167125
1.0,-49.37500395,63.12500505
0.0,144.37501155,-32.29166925
0.0,-158.54167935,70.62500565
0.0,-91.45834065,56.04167115
2.0,-71.04167235,-41.87500335
-9999.0,-118.54167615,33.95833605
8.0,145.62501165,65.20833855
0.0,117.70834275,2.70833354999999
2.0,-116.04167595,49.37500395
1.0,13.12500105,56.87500455
1.0,142.70834475,48.95833725
2.0,-108.95834205,39.79166985
1.0,30.62500245,-27.70833555
3.0,-21.87500175,70.62500565
0.0,-163.54167975,61.87500495
18.0,6.45833385,45.62500365
4.0,116.45834265,59.79167145
0.0,36.04166955,57.70833795
1.0,-113.54167575,49.37500395
1.0,101.87500815,14.79166785
8.0,93.54167415,52.70833755
0.0,-88.54167375,41.45833665
9.0,-42.29167005,62.70833835
-9999.0,32.70833595,-26.04166875
2.0,59.79167145,58.12500465
11.0,-101.87500815,19.79166825
-9999.0,107.70834195,4.37500034999999
1.0,23.12500185,49.37500395
0.0,-70.20833895,64.37500515
1.0,-124.37500995,54.79167105
0.0,91.45834065,70.62500565
6.0,-83.54167335,35.62500285
-9999.0,-158.95834605,71.45833905
0.0,90.62500725,58.12500465
0.0,-74.79167265,45.20833695
0.0,45.20833695,53.95833765
-9999.0,151.04167875,-8.12500065
1.0,127.29167685,42.70833675
0.0,-97.29167445,63.12500505
0.0,-94.79167425,48.95833725
9.0,111.04167555,33.54166935
2.0,-109.79167545,44.79167025
2.0,111.87500895,53.12500425
1.0,-146.45834505,67.29167205
13.0,41.45833665,41.04166995
2.0,121.45834305,45.62500365
3.0,116.04167595,53.54167095
0.0,79.37500635,66.45833865
3.0,136.87501095,36.04166955
9.0,-153.95834565,67.29167205
4.0,-28.95833565,70.20833895
3.0,-43.54167015,61.87500495
0.0,37.29166965,53.12500425
0.0,-108.95834205,64.79167185
1.0,-46.04167035,61.87500495
0.0,29.37500235,55.62500445
0.0,131.04167715,43.95833685
-9999.0,83.95834005,69.79167225
4.0,-58.12500465,49.37500395
6.0,-141.87501135,68.95833885
-9999.0,-96.87500775,26.87500215
0.0,60.62500485,54.37500435
0.0,-66.45833865,53.95833765
0.0,16.87500135,45.20833695
-9999.0,143.12501145,53.54167095
-9999.0,125.20834335,2.70833354999999
2.0,-126.87501015,59.37500475
6.0,22.70833515,45.20833695
0.0,107.70834195,50.20833735
4.0,146.87501175,-8.54166735
-9999.0,166.87501335,-21.04166835
-9999.0,-52.29167085,68.95833885
1.0,-144.37501155,63.95833845
9.0,102.70834155,51.04167075
1.0,126.04167675,52.29167085
6.0,-146.87501175,63.54167175
0.0,-77.29167285,54.37500435
-9999.0,124.79167665,-14.79166785
0.0,24.79166865,51.45833745
-9999.0,136.87501095,-11.45833425
7.0,-146.04167835,63.54167175
5.0,100.62500805,48.54167055
1.0,-24.37500195,73.95833925
5.0,-116.45834265,32.29166925
1.0,-76.45833945,40.62500325
2.0,-122.29167645,71.45833905
1.0,-82.29167325,34.37500275
1.0,29.37500235,63.54167175
11.0,36.45833625,41.04166995
10.0,109.79167545,53.95833765
0.0,9.37500075,56.45833785
-9999.0,133.95834405,-6.87500055
3.0,-83.95834005,46.87500375
-9999.0,141.87501135,45.62500365
0.0,110.20834215,40.20833655
2.0,-116.87500935,67.70833875
1.0,125.62501005,42.70833675
2.0,-148.54167855,66.45833865
1.0,58.54167135,65.62500525
13.0,94.37500755,25.62500205
1.0,-3.12500025,48.12500385
0.0,-89.37500715,35.20833615
8.0,90.20834055,51.87500415
0.0,117.29167605,39.79166985
4.0,122.29167645,55.20833775
-9999.0,36.04166955,69.37500555
0.0,-96.45834105,45.20833695
1.0,101.87500815,59.37500475
5.0,31.45833585,41.04166995
0.0,74.37500595,64.37500515
3.0,123.54167655,59.37500475
1.0,-62.70833835,45.20833695
-9999.0,17.70833475,69.79167225
0.0,-92.70834075,46.45833705
0.0,145.20834495,-33.12500265
2.0,-121.87500975,59.79167145
5.0,131.87501055,55.20833775
0.0,70.62500565,62.70833835
-9999.0,120.62500965,-5.62500045
-9999.0,-154.79167905,57.70833795
1.0,-145.62501165,67.29167205
5.0,125.20834335,41.04166995
0.0,103.12500825,-2.70833355000001
0.0,118.95834285,-31.45833585
4.0,106.04167515,32.70833595
-9999.0,164.37501315,-20.20833495
1.0,21.04166835,50.62500405
6.0,100.20834135,22.70833515
-9999.0,4.37500034999999,43.12500345
2.0,-5.20833375000001,40.62500325
1.0,118.54167615,59.37500475
0.0,75.62500605,43.54167015
0.0,47.70833715,58.54167135
0.0,161.04167955,64.79167185
0.0,-83.12500665,44.79167025
1.0,103.12500825,73.54167255
-9999.0,23.95833525,40.20833655
3.0,118.95834285,54.37500435
1.0,-115.20834255,52.29167085
0.0,81.04167315,65.62500525
3.0,30.20833575,-28.54166895
0.0,-83.95834005,50.20833735
0.0,122.70834315,41.04166995
7.0,-135.20834415,63.12500505
4.0,15.62500125,78.12500625
11.0,-120.20834295,49.37500395
-9999.0,103.54167495,3.12500025
0.0,17.29166805,48.12500385
-9999.0,122.70834315,38.54166975
8.0,138.54167775,60.20833815
0.0,-99.37500795,26.87500215
0.0,71.87500575,61.45833825
1.0,-104.79167505,33.95833605
1.0,104.79167505,28.54166895
5.0,142.29167805,47.70833715
5.0,-80.62500645,37.70833635
0.0,43.54167015,59.79167145
3.0,135.62501085,46.04167035
0.0,18.12500145,48.95833725
0.0,140.62501125,-18.12500145
1.0,109.79167545,35.20833615
1.0,60.62500485,57.70833795
0.0,91.87500735,24.37500195
3.0,57.29167125,54.79167105
0.0,13.12500105,53.95833765
1.0,91.45834065,62.70833835
0.0,-97.70834115,29.79166905
0.0,133.54167735,-31.45833585
1.0,115.62500925,28.95833565
0.0,53.95833765,66.87500535
0.0,66.87500535,58.12500465
2.0,-114.37500915,55.62500445
-9999.0,-84.79167345,65.20833855
3.0,100.20834135,50.20833735
8.0,-110.20834215,43.95833685
1.0,-113.12500905,57.70833795
0.0,114.37500915,32.70833595
-9999.0,23.54166855,77.29167285
-9999.0,115.62500925,5.62500045
0.0,-101.87500815,63.95833845
0.0,74.79167265,63.12500505
0.0,-101.04167475,28.12500225
1.0,-116.87500935,36.87500295
1.0,98.95834125,8.54166735
-9999.0,119.79167625,13.95833445
2.0,8.95833404999999,63.54167175
4.0,100.62500805,34.79166945
1.0,-96.45834105,39.37500315
0.0,144.37501155,75.62500605
12.0,124.37500995,0.625000049999997
2.0,94.37500755,64.37500515
8.0,96.04167435,30.62500245
0.0,116.04167595,33.12500265
2.0,161.04167955,57.29167125
2.0,128.12501025,53.54167095
7.0,-143.54167815,65.20833855
1.0,108.12500865,23.54166855
1.0,-111.04167555,53.95833765
0.0,-114.37500915,63.54167175
0.0,73.54167255,58.54167135
0.0,6.45833385,53.12500425
3.0,32.70833595,68.12500545
1.0,24.37500195,70.62500565
1.0,22.29166845,51.04167075
1.0,89.37500715,63.12500505
0.0,141.87501135,76.04167275
0.0,76.45833945,66.45833865
0.0,-88.95834045,51.45833745
14.0,-130.20834375,56.04167115
1.0,28.12500225,47.70833715
1.0,-66.87500535,45.62500365
2.0,-113.12500905,45.20833695
-9999.0,12.29166765,66.87500535
9.0,164.37501315,64.79167185
2.0,101.87500815,39.79166985
2.0,-150.20834535,65.20833855
1.0,-81.04167315,40.20833655
0.0,45.62500365,56.45833785
6.0,121.04167635,-2.29166685
0.0,85.62500685,53.12500425
3.0,141.04167795,59.79167145
1.0,40.20833655,58.54167135
1.0,20.62500165,51.04167075
-9999.0,98.12500785,10.62500085
0.0,107.29167525,-6.45833385
0.0,31.04166915,48.95833725
1.0,-33.54166935,67.29167205
5.0,169.37501355,68.12500545
-9999.0,126.45834345,-8.95833405
1.0,-163.95834645,68.95833885
5.0,-110.20834215,44.37500355
0.0,108.95834205,19.37500155
0.0,-90.62500725,45.62500365
2.0,91.87500735,66.87500535
5.0,-4.79166705,34.79166945
0.0,-91.87500735,31.45833585
-9999.0,150.20834535,-36.45833625
1.0,108.12500865,51.04167075
0.0,-105.20834175,63.95833845
0.0,118.54167615,39.79166985
0.0,42.29167005,64.37500515
3.0,106.87500855,22.29166845
2.0,123.12500985,41.04166995
16.0,-72.29167245,-46.87500375
0.0,-118.95834285,59.37500475
0.0,64.37500515,59.79167145
10.0,-106.45834185,24.37500195
11.0,12.70833435,78.54167295
10.0,-124.37500995,56.87500455
1.0,126.45834345,43.54167015
1.0,93.95834085,53.95833765
0.0,-71.45833905,55.62500445
1.0,24.79166865,45.20833695
0.0,2.29166684999998,49.37500395
5.0,-151.45834545,59.37500475
0.0,-98.12500785,35.20833615
1.0,55.62500445,56.04167115
0.0,-88.12500705,55.20833775
4.0,161.45834625,61.45833825
0.0,-126.04167675,63.95833845
6.0,159.79167945,53.54167095
2.0,30.20833575,-20.62500165
0.0,109.79167545,38.95833645
0.0,131.45834385,46.87500375
6.0,-175.20834735,65.20833855
0.0,-79.79167305,33.12500265
1.0,-84.79167345,37.70833635
0.0,-82.70833995,49.79167065
-9999.0,-169.79168025,63.54167175
0.0,-91.45834065,40.20833655
2.0,18.95833485,64.37500515
0.0,-114.79167585,58.95833805
-9999.0,-36.04166955,65.62500525
1.0,8.54166734999998,48.54167055
-9999.0,1.04166674999999,51.04167075
2.0,-111.04167555,63.12500505
1.0,140.62501125,52.70833755
5.0,104.79167505,51.87500415
0.0,31.45833585,50.20833735
0.0,-79.79167305,50.20833735
3.0,126.04167675,43.12500345
1.0,123.54167655,64.79167185
1.0,27.29166885,61.45833825
0.0,124.37500995,44.37500355
0.0,120.20834295,-30.20833575
-9999.0,10.20833415,54.37500435
7.0,-120.62500965,39.37500315
0.0,25.62500205,56.04167115
-9999.0,23.54166855,39.79166985
1.0,161.04167955,56.45833785
1.0,54.79167105,61.87500495
0.0,-74.37500595,51.87500415
13.0,-139.79167785,61.04167155
2.0,111.04167555,-1.45833345
0.0,0.208333349999975,48.95833725
0.0,-75.62500605,54.79167105
