"variable","percent.contribution","permutation.importance"
"bio12",11.5047,10.493
"bio15",25.9403,6.7283
"bio2",8.6161,10.5988
"bio8",7.0707,3.2994
"bio9",13.1696,23.9994
"elevation",1.1265,7.5675
"ruggedness",2.2184,3.938
"sand",4.4088,0.9671
"soc",25.9449,32.4085
