"variable","percent.contribution","permutation.importance"
"bio15",30.2752,39.3256
"bio2",36.8873,2.4239
"bio4",3.5948,3.5318
"ruggedness",20.9877,35.7699
"sand",3.9835,0.076
"soc",4.2714,18.8729
