"variable","percent.contribution","permutation.importance"
"bio12",47.2457,16.0259
"bio15",25.0716,58.0999
"bio17",14.495,0
"bio2",0.4113,1.959
"bio8",3.2059,7.2147
"nitrogen",0.2191,6.5775
"ruggedness",0.6462,1.8231
"sand",5.2169,0
"soc",3.4884,8.2999
