"variable","percent.contribution","permutation.importance"
"bio15",0.1728,0.3989
"bio16",29.4048,56.5786
"bio2",4.6405,3.8931
"bio4",8.9194,0.2823
"nitrogen",31.4656,0.0863
"ruggedness",14.2095,20.257
"sand",9.5302,5.5652
"soc",1.6573,12.9385
