LandCover_5_Shrubs,x,y
0.0,114.79167585,24.79166865
0.0,-69.79167225,47.70833715
79.0,-111.87500895,34.79166945
0.0,108.12500865,22.29166845
46.0,132.70834395,-30.20833575
44.0,22.70833515,38.95833645
37.0,-6.04166715000002,39.79166985
18.0,119.37500955,-32.70833595
45.0,151.45834545,-27.29166885
0.0,143.12501145,-3.95833365
0.0,42.70833675,54.79167105
0.0,123.54167655,14.37500115
0.0,113.54167575,-0.208333350000004
0.0,42.70833675,37.29166965
0.0,119.79167625,5.62500045
0.0,112.29167565,23.12500185
0.0,-103.95834165,20.62500165
0.0,144.79167825,-36.45833625
34.0,-105.62500845,25.20833535
0.0,143.95834485,-36.87500295
0.0,21.45833505,38.54166975
0.0,10.20833415,42.70833675
0.0,-3.54166695000001,54.37500435
26.0,-0.208333350000004,38.54166975
0.0,-101.45834145,29.37500235
0.0,-1.04166675000002,50.20833735
10.0,28.95833565,40.62500325
0.0,140.20834455,-1.87500015000001
0.0,-81.87500655,29.79166905
0.0,121.45834305,11.87500095
0.0,101.87500815,1.04166675
6.0,107.29167525,14.79166785
0.0,144.37501155,-36.45833625
0.0,119.79167625,27.29166885
0.0,13.95833445,38.12500305
45.0,-106.04167515,28.54166895
0.0,35.62500285,34.37500275
0.0,141.87501135,-36.45833625
0.0,153.54167895,-28.95833565
0.0,-8.54166735000001,53.95833765
54.0,-106.45834185,28.95833565
0.0,152.70834555,-29.37500235
0.0,115.62500925,-29.37500235
0.0,151.45834545,-31.45833585
0.0,108.95834205,11.04166755
43.0,-7.29166725000002,38.54166975
57.0,121.45834305,-30.20833575
0.0,-86.87500695,37.29166965
0.0,-80.62500645,24.79166865
0.0,143.12501145,-35.20833615
25.0,-106.87500855,26.87500215
0.0,104.79167505,-6.04166715000001
0.0,12.70833435,52.70833755
0.0,128.54167695,27.70833555
40.0,-103.95834165,22.70833515
0.0,171.87501375,-34.37500275
22.0,92.70834075,24.79166865
12.0,-103.95834165,21.87500175
0.0,130.62501045,34.79166945
0.0,112.29167565,2.70833354999999
0.0,33.95833605,51.87500415
0.0,22.29166845,37.70833635
0.0,147.29167845,-33.54166935
0.0,83.12500665,28.54166895
0.0,119.37500955,4.37500034999999
0.0,108.12500865,0.625000049999997
71.0,144.79167825,-32.29166925
0.0,120.62500965,-4.37500035000001
0.0,-99.37500795,16.87500135
34.0,152.70834555,-27.70833555
0.0,110.62500885,-1.45833345
0.0,105.20834175,-5.20833375000001
0.0,16.87500135,39.79166985
51.0,-101.87500815,30.20833575
5.0,-102.70834155,20.62500165
0.0,-85.20834015,29.79166905
76.0,-104.37500835,28.54166895
84.0,144.37501155,-32.29166925
32.0,29.37500235,39.79166985
0.0,98.54167455,25.62500205
17.0,-109.79167545,23.12500185
0.0,118.54167615,27.70833555
0.0,115.62500925,-3.12500025
0.0,-104.79167505,21.04166835
24.0,42.29167005,38.12500305
24.0,103.95834165,14.37500115
0.0,119.79167625,-1.04166675
0.0,97.70834115,9.37500075
0.0,92.29167405,20.62500165
0.0,151.04167875,-29.37500235
21.0,93.12500745,21.87500175
0.0,176.87501415,-39.37500315
0.0,74.37500595,15.20833455
2.0,143.54167815,-5.62500045
0.0,93.54167415,19.79166825
0.0,-98.95834125,30.20833575
0.0,25.62500205,39.79166985
16.0,-104.37500835,22.70833515
30.0,-103.95834165,21.45833505
0.0,-81.04167315,32.70833595
22.0,23.12500185,40.62500325
24.0,111.87500895,22.70833515
9.0,101.45834145,18.95833485
0.0,107.29167525,-5.62500045
30.0,103.54167495,21.45833505
24.0,30.20833575,40.20833655
0.0,115.62500925,1.87500014999999
0.0,33.54166935,50.20833735
0.0,116.45834265,-0.625000049999997
0.0,110.20834215,-0.625000049999997
0.0,-96.45834105,33.12500265
0.0,118.12500945,-31.45833585
0.0,-69.79167225,-53.54167095
0.0,-88.54167375,46.04167035
0.0,92.29167405,21.04166835
0.0,-103.54167495,36.45833625
2.0,149.37501195,-21.87500175
0.0,145.20834495,-35.62500285
3.0,103.95834165,11.45833425
0.0,-85.20834015,30.62500245
0.0,100.20834135,-1.04166675
0.0,118.54167615,-8.12500065
0.0,142.70834475,-7.70833395
