ISRICSOILGRIDS_new_average_claypercent_reduced,x,y
25.0,111.04167555,26.45833545
18.0,117.29167605,-33.12500265
30.0,48.54167055,38.95833645
-9999.0,98.54167455,1.87500014999999
41.0,-90.62500725,14.79166785
-9999.0,148.12501185,-38.12500305
22.0,133.95834405,-31.87500255
29.0,145.62501165,-36.04166955
34.0,96.45834105,21.87500175
54.0,-105.62500845,31.04166915
-9999.0,129.79167705,28.54166895
37.0,103.12500825,-4.37500035000001
19.0,1.45833345,49.37500395
-9999.0,126.04167675,-13.54166775
27.0,1.04166674999999,43.12500345
-9999.0,113.54167575,3.95833365
19.0,133.54167735,-31.45833585
33.0,134.79167745,-14.79166785
38.0,-108.95834205,31.45833585
-9999.0,133.12501065,-32.70833595
13.0,12.29166765,56.04167115
-9999.0,103.95834165,-6.04166715000001
22.0,136.45834425,-33.95833605
15.0,41.87500335,56.87500455
14.0,15.62500125,58.54167135
-9999.0,146.87501175,-9.37500075
25.0,141.04167795,-33.54166935
-9999.0,18.12500145,40.62500325
20.0,-111.04167555,36.04166955
18.0,33.95833605,56.04167115
20.0,2.70833354999999,46.45833705
-9999.0,25.62500205,39.79166985
-9999.0,25.20833535,40.20833655
8.0,-81.45833985,28.54166895
15.0,117.70834275,-31.87500255
-9999.0,1.45833345,36.87500295
38.0,108.12500865,14.37500115
23.0,118.54167615,-30.62500245
-9999.0,119.37500955,-8.54166735
33.0,46.04167035,35.20833615
29.0,144.79167825,-4.79166705
24.0,124.37500995,-9.79166745000001
26.0,121.04167635,28.54166895
23.0,121.87500975,-30.62500245
33.0,93.54167415,20.62500165
25.0,1.45833345,45.20833695
27.0,107.70834195,21.45833505
38.0,-102.29167485,29.37500235
32.0,107.29167525,11.87500095
17.0,31.45833585,53.95833765
15.0,6.04166714999999,51.04167075
37.0,-101.87500815,20.62500165
33.0,11.45833425,44.37500355
27.0,148.12501185,-33.12500265
-9999.0,-96.45834105,20.62500165
29.0,108.95834205,23.95833525
28.0,151.45834545,-29.37500235
-9999.0,123.54167655,-6.04166715000001
24.0,-6.45833385,37.70833635
26.0,110.62500885,23.54166855
48.0,-108.95834205,28.12500225
-9999.0,-83.54167335,23.12500185
43.0,-102.29167485,20.20833495
37.0,-110.62500885,32.29166925
26.0,-112.70834235,35.20833615
29.0,113.54167575,24.37500195
38.0,106.04167515,9.37500075
26.0,112.70834235,23.12500185
24.0,123.12500985,-16.87500135
-9999.0,4.79166705,43.12500345
-9999.0,103.54167495,-5.20833375000001
34.0,113.54167575,0.208333350000004
-9999.0,141.04167795,-16.87500135
25.0,6.04166714999999,49.37500395
24.0,-97.29167445,37.29166965
29.0,96.04167435,20.62500165
27.0,117.29167605,-0.208333350000004
-9999.0,109.37500875,21.04166835
19.0,46.87500375,56.87500455
-9999.0,135.62501085,33.12500265
-9999.0,21.45833505,36.45833625
34.0,-98.12500785,20.62500165
20.0,123.95834325,-29.79166905
19.0,116.45834265,-32.70833595
37.0,106.04167515,11.04166755
29.0,117.29167605,3.95833365
39.0,115.20834255,1.04166675
-9999.0,-69.79167225,-53.54167095
33.0,16.87500135,43.54167015
31.0,110.20834215,18.95833485
33.0,150.62501205,-31.45833585
23.0,133.54167735,-31.87500255
20.0,-93.95834085,34.79166945
-9999.0,-73.95833925,-43.95833685
30.0,106.87500855,14.37500115
-9999.0,115.62500925,-8.95833405
50.0,-107.29167525,28.12500225
-9999.0,-3.12500025,36.45833625
-9999.0,163.12501305,-19.37500155
30.0,104.79167505,18.95833485
46.0,-111.04167555,31.45833585
-9999.0,129.79167705,-0.625000049999997
-9999.0,106.45834185,-5.62500045
27.0,121.45834305,-31.45833585
23.0,101.87500815,14.79166785
22.0,121.04167635,-31.45833585
45.0,-89.37500715,14.79166785
28.0,111.45834225,26.45833545
55.0,-106.87500855,29.37500235
22.0,42.70833675,54.79167105
36.0,148.95834525,-31.04166915
33.0,35.20833615,33.12500265
24.0,123.12500985,-30.20833575
11.0,-74.37500595,39.79166985
20.0,78.12500625,31.04166915
-9999.0,8.95833404999999,41.45833665
30.0,101.04167475,1.45833345
31.0,-96.45834105,40.62500325
22.0,111.04167555,35.62500285
31.0,142.29167805,-8.95833405
27.0,143.12501145,-34.37500275
30.0,93.95834085,25.20833535
31.0,92.70834075,22.29166845
26.0,26.87500215,39.37500315
28.0,-88.95834045,30.20833575
-9999.0,25.62500205,39.37500315
-9999.0,120.62500965,-1.87500015000001
27.0,134.37501075,-14.37500115
32.0,104.79167505,21.45833505
43.0,-98.95834125,20.20833495
-9999.0,102.70834155,-4.79166705
25.0,38.54166975,51.87500415
22.0,35.62500285,53.12500425
2.0,-81.45833985,27.70833555
21.0,132.70834395,-29.79166905
34.0,93.95834085,20.62500165
10.0,20.62500165,53.12500425
-9999.0,129.79167705,35.62500285
9.0,-81.87500655,26.45833545
37.0,-98.95834125,21.45833505
7.0,12.70833435,52.29167085
14.0,37.70833635,56.04167115
-9999.0,116.87500935,8.12500065
37.0,121.45834305,16.04166795
21.0,116.04167595,-29.37500235
20.0,36.04166955,54.37500435
24.0,140.20834455,-33.95833605
-9999.0,22.29166845,36.45833625
-9999.0,123.54167655,12.70833435
-9999.0,114.79167585,-7.70833395
18.0,150.20834535,-33.95833605
19.0,47.29167045,56.45833785
35.0,96.87500775,5.20833374999999
24.0,148.54167855,-37.70833635
25.0,28.54166895,37.29166965
-9999.0,128.54167695,27.70833555
21.0,116.04167595,-34.37500275
38.0,100.62500805,0.208333350000004
14.0,-81.87500655,31.87500255
-9999.0,101.45834145,-3.12500025
-9999.0,98.95834125,-1.04166675
27.0,148.95834525,-31.87500255
29.0,121.04167635,23.12500185
-9999.0,-86.04167355,30.20833575
18.0,150.20834535,-35.20833615
-9999.0,103.12500825,-5.20833375000001
28.0,22.29166845,41.04166995
40.0,102.29167485,-1.87500015000001
33.0,136.04167755,-31.45833585
27.0,3.54166694999998,43.95833685
24.0,110.62500885,21.45833505
49.0,-103.95834165,23.12500185
21.0,140.20834455,36.87500295
11.0,-85.20834015,30.20833575
28.0,10.62500085,43.12500345
10.0,8.54166734999998,51.87500415
-9999.0,97.70834115,9.79166744999999
37.0,102.70834155,-1.87500015000001
-9999.0,31.87500255,36.45833625
23.0,9.37500075,40.62500325
20.0,119.79167625,-33.95833605
22.0,35.62500285,56.04167115
43.0,-98.54167455,17.70833475
27.0,27.29166885,39.79166985
16.0,149.37501195,-36.04166955
21.0,-81.04167315,39.37500315
32.0,152.29167885,-26.87500215
27.0,-3.95833365000001,38.95833645
29.0,118.54167615,4.37500034999999
15.0,149.79167865,-36.87500295
24.0,138.54167775,-32.70833595
28.0,115.20834255,26.04166875
-9999.0,-1.45833345,45.20833695
21.0,-1.45833345,53.95833765
43.0,-99.79167465,19.79166825
29.0,-112.29167565,35.20833615
35.0,101.45834145,18.95833485
11.0,21.87500175,51.87500415
26.0,16.45833465,39.79166985
23.0,143.12501145,-5.62500045
51.0,-103.12500825,26.87500215
26.0,114.37500915,23.12500185
31.0,-111.04167555,33.54166935
-9999.0,141.45834465,41.87500335
31.0,19.37500155,42.29167005
28.0,117.70834275,2.29166685
47.0,-101.87500815,21.04166835
21.0,114.79167585,-28.54166895
-9999.0,165.20834655,-21.87500175
-9999.0,-77.29167285,34.37500275
20.0,143.95834485,-14.79166785
49.0,-99.37500795,17.29166805
-9999.0,127.29167685,-8.54166735
28.0,94.79167425,26.45833545
25.0,143.54167815,-13.95833445
12.0,-68.12500545,46.45833705
-9999.0,100.62500805,12.70833435
13.0,-79.79167305,45.20833695
30.0,116.45834265,-0.625000049999997
49.0,100.20834135,13.95833445
2.0,-81.87500655,29.79166905
16.0,-81.04167315,32.70833595
25.0,118.12500945,-31.45833585
44.0,-104.37500835,20.62500165
28.0,18.12500145,40.20833655
20.0,139.37501115,-32.29166925
27.0,92.29167405,24.37500195
-9999.0,101.04167475,3.12500025
25.0,110.20834215,21.45833505
30.0,34.79166945,31.87500255
23.0,121.04167635,-32.29166925
27.0,14.79166785,47.70833715
21.0,139.37501115,-33.12500265
27.0,21.87500175,40.62500325
32.0,-110.62500885,33.12500265
-9999.0,18.54166815,40.20833655
3.0,-82.29167325,30.20833575
25.0,135.62501085,-32.29166925
31.0,-3.54166695000001,34.79166945
-9999.0,135.62501085,-11.45833425
20.0,107.70834195,41.04166995
-9999.0,133.12501065,-4.37500035000001
52.0,-104.79167505,24.37500195
22.0,0.625000049999983,45.20833695
39.0,-100.20834135,23.12500185
35.0,101.45834145,4.37500034999999
16.0,34.37500275,56.87500455
-9999.0,123.12500985,-8.54166735
45.0,-101.04167475,21.04166835
27.0,16.87500135,40.62500325
-9999.0,35.20833615,33.54166935
20.0,-82.70833995,31.87500255
42.0,-100.62500805,20.20833495
-9999.0,-86.87500695,30.20833575
15.0,41.87500335,52.70833755
-9999.0,-94.79167425,28.95833565
24.0,114.79167585,-27.70833555
32.0,103.12500825,19.79166825
31.0,120.62500965,23.54166855
33.0,102.29167485,18.95833485
32.0,151.45834545,-24.37500195
29.0,11.04166755,43.95833685
34.0,-103.12500825,30.20833575
41.0,-100.62500805,21.04166835
28.0,29.37500235,36.45833625
40.0,-103.12500825,29.37500235
21.0,-6.87500055000001,38.54166975
18.0,26.04166875,58.95833805
-9999.0,8.12500064999998,41.87500335
25.0,12.70833435,41.45833665
19.0,133.12501065,-30.20833575
-9999.0,153.12501225,-24.37500195
28.0,37.70833635,52.29167085
10.0,-94.37500755,46.45833705
23.0,9.37500075,51.87500415
36.0,-101.87500815,29.37500235
15.0,-82.29167325,31.87500255
-9999.0,128.95834365,-14.37500115
32.0,142.29167805,-33.12500265
26.0,21.87500175,45.62500365
-9999.0,121.45834305,21.87500175
21.0,118.54167615,-34.37500275
34.0,-99.37500795,21.87500175
52.0,-107.70834195,28.95833565
31.0,101.87500815,4.37500034999999
-9999.0,93.12500745,13.95833445
10.0,23.95833525,51.45833745
36.0,115.62500925,1.04166675
-9999.0,109.37500875,13.54166775
36.0,111.04167555,-1.45833345
-9999.0,128.54167695,-7.29166725
-9999.0,148.12501185,-7.70833395
22.0,119.79167625,-33.54166935
25.0,143.54167815,-3.95833365
-9999.0,107.29167525,-5.62500045
37.0,123.54167655,13.12500105
16.0,117.70834275,-32.70833595
29.0,6.04166714999999,47.29167045
25.0,119.37500955,28.95833565
-9999.0,8.54166734999998,37.70833635
50.0,-104.79167505,23.12500185
-9999.0,23.54166855,38.54166975
25.0,119.79167625,27.29166885
34.0,117.29167605,7.29166725
26.0,140.20834455,-36.04166955
45.0,-103.12500825,22.29166845
-9999.0,99.79167465,4.37500034999999
-9999.0,-80.62500645,30.62500245
-9999.0,133.54167735,-2.29166685
-9999.0,16.04166795,41.45833665
30.0,139.37501115,-7.70833395
24.0,118.95834285,-29.79166905
18.0,108.12500865,40.62500325
-9999.0,1.45833345,53.12500425
18.0,-81.45833985,33.54166935
53.0,-104.37500835,23.54166855
18.0,-85.62500685,50.62500405
53.0,-107.70834195,31.04166915
19.0,21.45833505,61.04167155
-9999.0,153.12501225,-31.04166915
35.0,96.45834105,20.62500165
22.0,117.70834275,-31.04166915
26.0,151.45834545,-31.45833585
59.0,-107.29167525,29.79166905
18.0,113.54167575,41.04166995
27.0,6.45833385,48.95833725
21.0,-93.12500745,43.95833685
21.0,123.12500985,-29.79166905
28.0,-100.62500805,33.12500265
32.0,104.37500835,20.62500165
25.0,120.20834295,29.37500235
17.0,106.04167515,40.62500325
25.0,-123.54167655,39.79166985
-9999.0,116.45834265,-3.54166695000001
22.0,140.20834455,-30.20833575
-9999.0,144.37501155,-38.54166975
17.0,-68.95833885,-54.79167105
25.0,111.87500895,22.29166845
31.0,121.45834305,23.54166855
17.0,33.95833605,56.45833785
17.0,85.20834015,28.12500225
13.0,-83.54167335,30.62500245
-9999.0,97.70834115,9.37500075
31.0,92.70834075,26.87500215
51.0,-102.29167485,22.29166845
-9999.0,140.62501125,-16.87500135
52.0,-108.95834205,27.70833555
46.0,-103.95834165,20.62500165
-9999.0,9.79166744999998,41.04166995
53.0,-108.95834205,29.37500235
-9999.0,131.87501055,32.29166925
-9999.0,121.87500975,25.62500205
47.0,-98.95834125,18.95833485
28.0,111.87500895,26.87500215
28.0,105.20834175,21.45833505
5.0,-83.12500665,29.79166905
54.0,-108.95834205,30.20833575
38.0,103.12500825,23.12500185
10.0,-75.62500605,37.70833635
18.0,-87.70834035,30.62500245
28.0,28.12500225,37.29166965
28.0,149.37501195,-21.87500175
47.0,-99.79167465,21.04166835
38.0,-100.20834135,19.37500155
19.0,-79.37500635,33.12500265
-9999.0,142.70834475,-38.95833645
-9999.0,100.20834135,4.79166705
-9999.0,-81.04167315,31.45833585
30.0,106.45834185,21.45833505
27.0,113.54167575,23.12500185
28.0,108.95834205,22.29166845
27.0,114.79167585,26.04166875
29.0,153.12501225,-29.37500235
41.0,106.04167515,10.62500085
-9999.0,9.79166744999998,37.70833635
38.0,101.45834145,0.625000049999997
-9999.0,79.37500635,8.12500065
-9999.0,111.04167555,19.37500155
34.0,-110.20834215,32.70833595
36.0,103.12500825,2.29166685
24.0,122.29167645,-31.45833585
-9999.0,109.37500875,-8.12500065
-9999.0,122.70834315,16.87500135
31.0,8.95833404999999,39.79166985
23.0,49.79167065,55.20833775
29.0,115.20834255,23.54166855
23.0,16.45833465,38.54166975
-9999.0,110.62500885,21.04166835
-9999.0,98.95834125,0.208333350000004
-9999.0,112.29167565,21.45833505
29.0,102.70834155,4.79166705
31.0,119.79167625,-1.04166675
42.0,-96.45834105,16.04166795
-9999.0,114.79167585,-30.20833575
18.0,150.62501205,-34.37500275
28.0,134.79167745,-31.45833585
22.0,38.54166975,53.95833765
24.0,118.54167615,-31.04166915
28.0,143.12501145,-36.87500295
32.0,-89.79167385,15.20833455
19.0,29.79166905,36.45833625
34.0,106.87500855,14.79166785
25.0,111.04167555,24.79166865
20.0,108.54167535,35.20833615
29.0,103.12500825,11.04166755
27.0,119.79167625,26.45833545
26.0,110.62500885,24.37500195
20.0,114.79167585,-26.87500215
29.0,45.62500365,36.04166955
25.0,123.54167655,-31.87500255
23.0,145.62501165,-6.87500055
23.0,27.29166885,39.37500315
27.0,97.70834115,27.29166885
21.0,135.62501085,-33.54166935
-9999.0,101.04167475,-3.54166695000001
29.0,141.87501135,-37.29166965
18.0,141.04167795,-37.29166965
-9999.0,99.79167465,3.54166694999999
35.0,99.37500795,0.208333350000004
28.0,0.625000049999983,44.37500355
29.0,123.12500985,0.625000049999997
-9999.0,-69.79167225,47.70833715
33.0,108.12500865,15.62500125
43.0,-106.45834185,25.20833535
26.0,47.29167045,55.62500445
-9999.0,121.45834305,22.70833515
22.0,-123.54167655,41.04166995
22.0,0.625000049999983,48.95833725
30.0,120.20834295,15.20833455
39.0,-101.45834145,20.20833495
21.0,-88.95834045,39.37500315
26.0,152.70834555,-28.95833565
18.0,149.79167865,-37.29166965
1.0,-82.29167325,26.87500215
