"variable","percent.contribution","permutation.importance"
"bio13",1.0395,2.3574
"bio15",0,0
"bio8",3.2384,13.9295
"bio9",28.6417,27.947
"elevation",37.5317,30.2997
"ruggedness",29.4225,22.2654
"sand",0.1263,3.2011
