"variable","percent.contribution","permutation.importance"
"bio2",15.4596,46.0381
"bio4",14.5651,11.8858
"bio5",18.2353,15.857
"nitrogen",24.4475,20.7359
"ruggedness",11.9895,5.4832
"sand",1.2625,0
"soc",14.0406,0
