"variable","percent.contribution","permutation.importance"
"bio14",37.3835,21.4902
"bio16",37.8708,38.3162
"bio2",1.3216,2.0443
"bio4",8.4039,8.6526
"bio8",2.2669,11.27
"bio9",2.8757,3.5973
"ruggedness",9.0144,12.1161
"sand",0.8632,2.5134
