"variable","percent.contribution","permutation.importance"
"bio13",34.5129,44.7486
"bio2",4.5138,3.7165
"bio4",41.0129,16.108
"bio8",3.506,7.4723
"bio9",7.4216,11.3615
"nitrogen",0.2527,0.9355
"ruggedness",6.6024,11.8861
"sand",2.1777,3.7715
