"variable","percent.contribution","permutation.importance"
"bio13",0,0
"bio15",0.3549,0.2546
"bio2",0,0
"bio4",0,0
"elevation",42.2437,33.7345
"nitrogen",0,0
"ruggedness",52.8541,66.011
"sand",0,0
"soc",4.5472,0
