"variable","percent.contribution","permutation.importance"
"bio16",7.0866,7.2978
"bio17",44.3544,54.6342
"bio2",0.5466,5.942
"bio9",7.9408,13.6565
"elevation",6.0135,7.1906
"nitrogen",0.2495,0.278
"ruggedness",31.703,9.5973
"sand",2.1056,1.4035
