"variable","percent.contribution","permutation.importance"
"bio16",2.0132,5.5474
"bio17",30.2795,13.3955
"bio2",2.2368,2.6803
"bio5",7.4767,13.2396
"bio8",1.8807,3.5525
"elevation",46.6293,52.9125
"nitrogen",6.3265,3.8755
"ruggedness",0.9813,2.9124
"sand",1.0741,0.6504
"soc",1.1018,1.2339
