"variable","percent.contribution","permutation.importance"
"bio1",20.1695,26.5489
"bio14",5.4359,6.9052
"bio15",26.9541,26.3388
"bio4",18.1487,18.771
"bio9",13.4583,12.6566
"nitrogen",2.0355,0.5822
"ruggedness",6.3525,2.0105
"sand",7.4456,6.1867
