"variable","percent.contribution","permutation.importance"
"bio13",66.7464,82.6831
"bio15",15.2999,6.216
"bio2",0.4628,3.0973
"bio4",0.2827,1.0736
"bio8",0,0
"bio9",0.2853,0
"elevation",2.5876,3.6528
"ruggedness",14.3354,3.2772
"sand",0,0
