"variable","percent.contribution","permutation.importance"
"bio13",46.35,63.0009
"bio14",4.5467,6.2755
"bio15",0,0
"bio2",0.2367,0.2858
"bio4",16.9819,9.8435
"nitrogen",6.9442,5.3229
"ruggedness",17.5351,6.9743
"sand",6.2509,8.2972
"soc",1.1546,0
