"variable","percent.contribution","permutation.importance"
"bio1",12.622,6.5729
"bio13",17.2876,18.6032
"bio15",14.262,4.764
"bio17",16.2249,9.3993
"bio2",6.2633,1.5604
"elevation",22.0236,37.1587
"ruggedness",9.8448,20.3323
"sand",1.4718,1.6091
