"variable","percent.contribution","permutation.importance"
"bio14",8.5509,11.3361
"bio15",31.062,9.3573
"bio2",10.063,11.8362
"bio6",14.7684,16.9531
"bio8",9.1429,10.0872
"ruggedness",14.1848,17.9389
"sand",4.7014,5.5342
"soc",7.5266,16.9571
