LandCover_5_Shrubs,x,y
79.0,-111.87500895,34.79166945
0.0,105.20834175,-6.04166715000001
46.0,132.70834395,-30.20833575
0.0,145.20834495,-14.79166785
44.0,22.70833515,38.95833645
0.0,97.70834115,23.95833525
37.0,-6.04166715000002,39.79166985
0.0,96.04167435,19.79166825
45.0,151.45834545,-27.29166885
0.0,143.12501145,-3.95833365
0.0,51.04167075,53.54167095
0.0,100.20834135,5.62500045
0.0,113.54167575,-0.208333350000004
17.0,150.62501205,-31.87500255
0.0,-103.95834165,20.62500165
24.0,-71.45833905,-45.20833695
0.0,54.37500435,55.20833775
0.0,144.79167825,-36.45833625
0.0,103.12500825,15.20833455
34.0,-105.62500845,25.20833535
0.0,143.95834485,-36.87500295
0.0,115.20834255,-34.37500275
0.0,148.54167855,-42.29167005
0.0,104.37500835,-4.79166705
0.0,98.95834125,8.12500065
26.0,-0.208333350000004,38.54166975
0.0,95.20834095,19.37500155
0.0,-101.45834145,29.37500235
0.0,-1.04166675000002,50.20833735
21.0,-72.29167245,-42.29167005
0.0,-74.79167265,40.62500325
40.0,144.79167825,-16.04166795
0.0,103.54167495,16.04166795
0.0,126.87501015,-7.70833395
0.0,116.04167595,-35.20833615
8.0,-72.70833915,-43.95833685
0.0,140.20834455,-1.87500015000001
0.0,148.12501185,-41.45833665
0.0,117.29167605,-33.12500265
0.0,102.29167485,5.20833374999999
0.0,-120.20834295,35.20833615
7.0,101.04167475,23.12500185
6.0,107.29167525,14.79166785
0.0,111.87500895,-0.625000049999997
0.0,144.37501155,-36.45833625
0.0,142.29167805,-37.70833635
0.0,147.70834515,-19.79166825
0.0,-122.70834315,40.20833655
0.0,144.79167825,-3.12500025
0.0,141.87501135,-36.45833625
8.0,150.62501205,-24.37500195
0.0,35.62500285,34.37500275
0.0,153.54167895,-28.95833565
0.0,101.87500815,16.45833465
0.0,132.29167725,-10.62500085
0.0,106.45834185,20.20833495
0.0,-92.70834075,17.29166805
0.0,151.45834545,-31.45833585
0.0,152.70834555,-29.37500235
0.0,101.45834145,23.54166855
43.0,-7.29166725000002,38.54166975
57.0,121.45834305,-30.20833575
0.0,147.70834515,-6.87500055
6.0,-73.95833925,-42.29167005
0.0,-86.87500695,37.29166965
0.0,124.37500995,5.62500045
0.0,143.12501145,-35.20833615
25.0,-106.87500855,26.87500215
0.0,-4.79166705,51.04167075
0.0,116.04167595,-6.87500055
0.0,104.79167505,-6.04166715000001
0.0,128.54167695,27.70833555
0.0,73.95833925,14.37500115
40.0,-103.95834165,22.70833515
0.0,171.87501375,-34.37500275
22.0,92.70834075,24.79166865
0.0,-85.20834015,41.87500335
12.0,-103.95834165,21.87500175
