LandCover_2_Evergreeenbroadleaf,x,y
0.0,-71.04167235,-54.79167105
54.0,165.62501325,-21.45833505
100.0,108.54167535,12.29166765
0.0,123.12500985,-11.04166755
0.0,150.20834535,-21.45833505
0.0,-95.20834095,34.37500275
0.0,-93.95834085,38.95833645
0.0,92.70834075,31.04166915
0.0,148.54167855,-41.87500335
0.0,123.54167655,-10.20833415
0.0,142.70834475,-14.37500115
0.0,101.87500815,23.95833525
0.0,96.45834105,21.04166835
0.0,4.37500034999999,62.29167165
0.0,-103.54167495,29.37500235
0.0,-108.12500865,33.12500265
0.0,-104.79167505,42.29167005
94.0,121.87500975,-3.95833365
0.0,122.70834315,-30.62500245
0.0,-106.04167515,26.04166875
0.0,150.62501205,-28.12500225
0.0,121.04167635,-3.12500025
0.0,100.20834135,20.20833495
0.0,122.70834315,14.79166785
0.0,116.87500935,-30.62500245
0.0,6.45833385,37.29166965
0.0,139.79167785,-32.29166925
27.0,97.29167445,3.95833365
0.0,-115.62500925,42.70833675
0.0,102.29167485,13.12500105
0.0,-108.12500865,37.29166965
14.0,131.04167715,-8.12500065
37.0,98.95834125,17.29166805
4.0,118.95834285,1.04166675
0.0,106.87500855,11.04166755
0.0,-107.29167525,36.87500295
0.0,-106.45834185,28.12500225
0.0,102.70834155,-4.37500035000001
100.0,114.37500915,0.208333350000004
0.0,-81.87500655,41.45833665
0.0,149.79167865,-31.87500255
0.0,158.54167935,58.12500465
28.0,111.45834225,0.208333350000004
0.0,167.29168005,-15.20833455
57.0,111.87500895,2.70833354999999
0.0,152.70834555,-10.20833415
57.0,102.29167485,21.87500175
0.0,-71.04167235,-38.95833645
57.0,98.95834125,8.95833404999999
64.0,146.87501175,-8.12500065
100.0,115.62500925,3.54166694999999
0.0,-3.54166695000001,36.45833625
0.0,-86.45834025,38.95833645
0.0,15.20833455,40.20833655
0.0,-105.20834175,25.20833535
0.0,100.62500805,17.70833475
0.0,123.54167655,-31.04166915
0.0,-96.04167435,37.29166965
0.0,127.29167685,26.45833545
32.0,101.04167475,21.45833505
0.0,-110.62500885,31.04166915
0.0,11.87500095,56.45833785
0.0,116.04167595,-31.87500255
0.0,-110.62500885,33.95833605
0.0,103.54167495,16.45833465
32.0,-72.70833915,-44.37500355
0.0,116.45834265,-35.62500285
0.0,93.12500745,12.70833435
0.0,137.70834435,37.70833635
0.0,81.45833985,6.04166714999999
0.0,100.62500805,2.29166685
0.0,75.20833935,11.87500095
0.0,137.70834435,55.20833775
0.0,25.62500205,40.62500325
0.0,123.95834325,-30.20833575
0.0,25.62500205,34.79166945
100.0,96.45834105,25.62500205
76.0,101.45834145,22.70833515
0.0,151.45834545,-28.95833565
0.0,-77.29167285,38.95833645
41.0,145.20834495,-17.29166805
0.0,-82.70833995,40.20833655
69.0,-73.12500585,-41.45833665
41.0,98.12500785,24.79166865
83.0,123.12500985,0.625000049999997
97.0,102.70834155,3.54166694999999
0.0,-108.12500865,29.79166905
100.0,115.62500925,4.37500034999999
0.0,111.04167555,20.20833495
0.0,12.70833435,56.04167115
0.0,98.54167455,1.87500014999999
0.0,166.87501335,-21.45833505
0.0,-75.20833935,39.79166985
52.0,-71.45833905,-40.20833655
0.0,142.70834475,-13.95833445
0.0,103.12500825,19.37500155
