LandCover_1_Needleleaf,x,y
9.0,-105.62500845,23.54166855
0.0,137.70834435,55.20833775
0.0,-1.87500015000001,52.70833755
0.0,112.70834235,-0.208333350000004
0.0,149.37501195,-32.70833595
0.0,82.70833995,16.87500135
0.0,97.29167445,53.54167095
0.0,135.20834415,-14.79166785
0.0,123.95834325,-30.62500245
0.0,130.20834375,-15.62500125
0.0,146.87501175,-18.54166815
0.0,69.79167225,36.04166955
0.0,-112.70834235,48.95833725
0.0,139.79167785,-8.12500065
0.0,102.29167485,2.29166685
0.0,-111.04167555,34.79166945
0.0,-101.45834145,24.37500195
52.0,-106.45834185,25.20833535
0.0,100.62500805,18.12500145
0.0,133.54167735,-31.87500255
6.0,98.95834125,25.20833535
0.0,-101.04167475,17.70833475
0.0,99.37500795,6.87500055
0.0,-101.87500815,26.45833545
0.0,-71.04167235,-39.37500315
0.0,122.70834315,-32.70833595
0.0,116.45834265,6.45833385
0.0,139.79167785,-6.87500055
0.0,168.12501345,-15.20833455
0.0,148.95834525,45.62500365
0.0,94.79167425,23.95833525
0.0,124.37500995,8.12500065
0.0,148.95834525,-19.79166825
0.0,-93.12500745,16.45833465
0.0,104.37500835,23.12500185
100.0,133.12501065,53.95833765
0.0,-96.45834105,31.45833585
0.0,146.45834505,-35.20833615
17.0,78.54167295,30.62500245
0.0,129.79167705,-4.79166705
0.0,150.20834535,-22.29166845
0.0,-71.04167235,-41.87500335
0.0,123.12500985,11.87500095
0.0,-96.04167435,38.12500305
0.0,121.04167635,-3.12500025
0.0,108.95834205,18.12500145
0.0,55.20833775,54.37500435
0.0,81.45833985,16.04166795
0.0,141.04167795,-34.37500275
0.0,139.79167785,-37.29166965
29.0,84.37500675,28.54166895
94.0,11.04166755,59.79167145
0.0,147.29167845,-8.12500065
0.0,100.62500805,17.29166805
0.0,-91.45834065,15.62500125
0.0,101.04167475,-0.208333350000004
0.0,-103.54167495,36.45833625
0.0,131.87501055,31.87500255
0.0,93.12500745,12.70833435
0.0,27.29166885,36.45833625
0.0,151.87501215,-32.29166925
0.0,-42.70833675,63.12500505
25.0,-108.12500865,35.20833615
0.0,-72.29167245,-43.12500345
16.0,103.54167495,52.29167085
0.0,143.95834485,-35.62500285
0.0,93.95834085,8.12500065
0.0,121.04167635,-30.62500245
0.0,168.12501345,-16.04166795
0.0,148.95834525,-20.20833495
0.0,151.45834545,-28.95833565
12.0,-108.54167535,27.70833555
0.0,139.37501115,-34.37500275
0.0,95.62500765,17.29166805
0.0,165.62501325,-21.45833505
6.0,-108.95834205,31.04166915
0.0,1.45833345,49.79167065
0.0,-111.87500895,43.12500345
0.0,34.79166945,33.12500265
0.0,100.62500805,2.29166685
0.0,24.79166865,38.12500305
0.0,98.54167455,8.95833404999999
0.0,-73.54167255,-45.20833695
0.0,-8.54166735000001,39.37500315
0.0,-1.04166675000002,50.20833735
0.0,-98.12500785,16.04166795
0.0,98.12500785,21.87500175
0.0,115.62500925,4.37500034999999
12.0,101.45834145,52.29167085
0.0,141.04167795,-8.54166735
