"variable","percent.contribution","permutation.importance"
"bio12",27.8698,36.3466
"bio15",23.7475,32.4773
"bio2",5.5463,3.4077
"bio6",16.6607,10.5491
"bio8",0.9536,3.2855
"ruggedness",13.6467,8.6272
"sand",5.3893,0.2894
"soc",6.1862,5.0171
