"variable","percent.contribution","permutation.importance"
"bio12",50.6775,55.3092
"bio15",7.563,11.5475
"bio2",22.4619,21.5452
"bio8",5.6389,4.5697
"ruggedness",5.2784,1.9187
"sand",8.3803,5.1097
