"variable","percent.contribution","permutation.importance"
"bio13",8.9665,11.0732
"bio17",21.2927,34.9423
"bio2",15.6584,15.8614
"bio4",28.2702,8.9011
"ruggedness",5.309,4.6002
"sand",8.3546,12.0327
"soc",12.1486,12.5892
