"variable","percent.contribution","permutation.importance"
"bio12",0,0
"bio14",2.6962,0.2885
"bio2",13.0972,9.5166
"bio4",0,0
"bio5",57.9971,70.4898
"nitrogen",3.675,0
"ruggedness",10.019,16.0906
"sand",0.0536,0.207
"soc",12.4618,3.4076
