"variable","percent.contribution","permutation.importance"
"bio15",3.4027,1.0593
"bio17",31.0341,26.2335
"bio2",0,0
"bio5",59.8174,64.1372
"ruggedness",0.08,0.0363
"sand",1.9456,6.2454
"soc",3.7202,2.2883
