"variable","percent.contribution","permutation.importance"
"bio13",0.2321,0.3262
"bio17",12.3126,18.7558
"bio2",0,0
"bio4",0,0
"elevation",80.2296,77.1066
"nitrogen",0.4122,0
"ruggedness",6.8044,3.7143
"sand",0,0
"soc",0.0092,0.0971
