"variable","percent.contribution","permutation.importance"
"bio13",6.3231,1.6872
"bio14",1.9048,3.6097
"bio2",6.7719,16.4131
"bio8",31.7873,7.2191
"bio9",1.2562,8.2508
"elevation",2.8376,3.013
"nitrogen",13.8431,16.2136
"ruggedness",1.9087,2.6483
"sand",32.817,37.9355
"soc",0.5502,3.0097
