"variable","percent.contribution","permutation.importance"
"bio12",20.4151,13.0647
"bio15",1.7662,2.1697
"bio2",0.0912,0.1897
"bio4",7.9024,5.1459
"elevation",19.6272,10.5081
"nitrogen",6.973,8.4825
"ruggedness",2.8786,3.782
"sand",2.4696,2.853
"soc",37.8767,53.8045
