"variable","percent.contribution","permutation.importance"
"bio15",9.8024,4.099
"bio17",1.9125,2.1049
"bio2",39.0217,25.2031
"bio4",0,0
"ruggedness",47.7231,68.5931
"soc",1.5403,0
