"variable","percent.contribution","permutation.importance"
"bio14",13.2143,10.5706
"bio16",6.7517,15.932
"bio2",5.0299,5.7984
"bio4",13.8863,26.6427
"bio8",5.8847,13.1742
"elevation",4.9163,8.6143
"ruggedness",3.336,9.8426
"sand",46.9808,9.4252
