"variable","percent.contribution","permutation.importance"
"bio13",18.177,0
"bio15",0,0
"bio2",0,0
"bio9",80.3735,80.5765
"nitrogen",0,0
"ruggedness",1.4495,19.4235
"sand",0,0
"soc",0,0
